runtime,mode,scheduler,algorithm,n,b,threads,gpus,rep,time,gflops
starpu,cpu,lws,sgemm,8000,1000,16,0,1,7.664303e-01,1.336064e+03
starpu,cpu,lws,sgemm,8000,1000,16,0,2,8.225194e-01,1.244955e+03
starpu,cpu,lws,sgemm,8000,1000,16,0,3,8.156129e-01,1.255498e+03
starpu,cpu,lws,sgemm,16000,1000,16,0,1,5.963430e+00,1.373706e+03
starpu,cpu,lws,sgemm,16000,1000,16,0,2,5.982677e+00,1.369287e+03
starpu,cpu,lws,sgemm,16000,1000,16,0,3,5.986353e+00,1.368446e+03
starpu,cpu,lws,sgemm,24000,1000,16,0,1,2.096891e+01,1.318524e+03
starpu,cpu,lws,sgemm,24000,1000,16,0,2,2.046339e+01,1.351096e+03
starpu,cpu,lws,sgemm,24000,1000,16,0,3,2.052835e+01,1.346820e+03
starpu,cpu,lws,spotrf,8000,1000,16,0,1,3.341527e-01,5.108403e+02
starpu,cpu,lws,spotrf,8000,1000,16,0,2,3.268842e-01,5.221993e+02
starpu,cpu,lws,spotrf,8000,1000,16,0,3,2.965797e-01,5.755574e+02
starpu,cpu,lws,spotrf,16000,1000,16,0,1,1.287339e+00,1.060685e+03
starpu,cpu,lws,spotrf,16000,1000,16,0,2,1.333446e+00,1.024009e+03
starpu,cpu,lws,spotrf,16000,1000,16,0,3,1.282736e+00,1.064492e+03
starpu,cpu,lws,spotrf,24000,1000,16,0,1,3.807690e+00,1.210258e+03
starpu,cpu,lws,spotrf,24000,1000,16,0,2,3.809824e+00,1.209580e+03
starpu,cpu,lws,spotrf,24000,1000,16,0,3,3.999150e+00,1.152317e+03
starpu,cpu,lws,sgeqrf,8000,1000,16,0,1,1.281444e+00,5.328323e+02
starpu,cpu,lws,sgeqrf,8000,1000,16,0,2,1.257602e+00,5.429337e+02
starpu,cpu,lws,sgeqrf,8000,1000,16,0,3,1.309089e+00,5.215801e+02
starpu,cpu,lws,sgeqrf,16000,1000,16,0,1,5.958188e+00,9.166957e+02
starpu,cpu,lws,sgeqrf,16000,1000,16,0,2,6.067924e+00,9.001176e+02
starpu,cpu,lws,sgeqrf,16000,1000,16,0,3,5.997629e+00,9.106674e+02
starpu,cpu,lws,sgeqrf,24000,1000,16,0,1,1.838572e+01,1.002580e+03
starpu,cpu,lws,sgeqrf,24000,1000,16,0,2,1.865729e+01,9.879868e+02
starpu,cpu,lws,sgeqrf,24000,1000,16,0,3,1.869602e+01,9.859396e+02
starpu,gpu,lws,sgemm,8000,1000,8,1,1,1.660173e-01,6.168031e+03
starpu,gpu,lws,sgemm,8000,1000,8,1,2,1.714414e-01,5.972887e+03
starpu,gpu,lws,sgemm,8000,1000,8,1,3,1.472370e-01,6.954773e+03
starpu,gpu,lws,sgemm,16000,1000,8,1,1,7.067717e-01,1.159073e+04
starpu,gpu,lws,sgemm,16000,1000,8,1,2,7.979922e-01,1.026576e+04
starpu,gpu,lws,sgemm,16000,1000,8,1,3,6.997832e-01,1.170648e+04
starpu,gpu,lws,sgemm,24000,1000,8,1,1,2.152449e+00,1.284490e+04
starpu,gpu,lws,sgemm,24000,1000,8,1,2,2.144529e+00,1.289234e+04
starpu,gpu,lws,sgemm,24000,1000,8,1,3,2.091815e+00,1.321723e+04
starpu,gpu,lws,spotrf,8000,1000,8,1,1,1.758706e-01,9.705924e+02
starpu,gpu,lws,spotrf,8000,1000,8,1,2,1.985783e-01,8.596038e+02
starpu,gpu,lws,spotrf,8000,1000,8,1,3,1.945595e-01,8.773596e+02
starpu,gpu,lws,spotrf,16000,1000,8,1,1,3.619261e-01,3.772763e+03
starpu,gpu,lws,spotrf,16000,1000,8,1,2,3.740100e-01,3.650868e+03
starpu,gpu,lws,spotrf,16000,1000,8,1,3,4.297786e-01,3.177128e+03
starpu,gpu,lws,spotrf,24000,1000,8,1,1,7.414604e-01,6.215150e+03
starpu,gpu,lws,spotrf,24000,1000,8,1,2,7.327643e-01,6.288909e+03
starpu,gpu,lws,spotrf,24000,1000,8,1,3,8.508251e-01,5.416258e+03
starpu,gpu,lws,sgeqrf,8000,1000,8,1,1,7.023028e-01,9.722227e+02
starpu,gpu,lws,sgeqrf,8000,1000,8,1,2,6.152998e-01,1.109694e+03
starpu,gpu,lws,sgeqrf,8000,1000,8,1,3,7.829140e-01,8.721197e+02
starpu,gpu,lws,sgeqrf,16000,1000,8,1,1,2.330723e+00,2.343413e+03
starpu,gpu,lws,sgeqrf,16000,1000,8,1,2,2.060013e+00,2.651365e+03
starpu,gpu,lws,sgeqrf,16000,1000,8,1,3,2.487554e+00,2.195669e+03
starpu,gpu,lws,sgeqrf,24000,1000,8,1,1,6.135221e+00,3.004481e+03
starpu,gpu,lws,sgeqrf,24000,1000,8,1,2,5.653905e+00,3.260252e+03
starpu,gpu,lws,sgeqrf,24000,1000,8,1,3,5.776117e+00,3.191271e+03
parsec,cpu,lfq,sgemm,8000,1000,16,0,1,8.579960e-01,1.193479e+03
parsec,cpu,lfq,sgemm,8000,1000,16,0,2,8.378220e-01,1.222217e+03
parsec,cpu,lfq,sgemm,8000,1000,16,0,3,8.221402e-01,1.245530e+03
parsec,cpu,lfq,sgemm,16000,1000,16,0,1,6.280654e+00,1.304323e+03
parsec,cpu,lfq,sgemm,16000,1000,16,0,2,6.272108e+00,1.306100e+03
parsec,cpu,lfq,sgemm,16000,1000,16,0,3,6.392658e+00,1.281470e+03
parsec,cpu,lfq,sgemm,24000,1000,16,0,1,2.115962e+01,1.306640e+03
parsec,cpu,lfq,sgemm,24000,1000,16,0,2,2.135506e+01,1.294682e+03
parsec,cpu,lfq,sgemm,24000,1000,16,0,3,2.151040e+01,1.285332e+03
parsec,cpu,lfq,spotrf,8000,1000,16,0,1,4.122150e-01,4.141011e+02
parsec,cpu,lfq,spotrf,8000,1000,16,0,2,3.879700e-01,4.399791e+02
parsec,cpu,lfq,spotrf,8000,1000,16,0,3,3.839920e-01,4.445371e+02
parsec,cpu,lfq,spotrf,16000,1000,16,0,1,1.289283e+00,1.059086e+03
parsec,cpu,lfq,spotrf,16000,1000,16,0,2,1.401260e+00,9.744524e+02
parsec,cpu,lfq,spotrf,16000,1000,16,0,3,1.357143e+00,1.006129e+03
parsec,cpu,lfq,spotrf,24000,1000,16,0,1,4.084256e+00,1.128305e+03
parsec,cpu,lfq,spotrf,24000,1000,16,0,2,4.092542e+00,1.126021e+03
parsec,cpu,lfq,spotrf,24000,1000,16,0,3,4.047726e+00,1.138488e+03
parsec,cpu,lfq,sgeqrf,8000,1000,16,0,1,1.506728e+00,4.531638e+02
parsec,cpu,lfq,sgeqrf,8000,1000,16,0,2,1.516335e+00,4.502928e+02
parsec,cpu,lfq,sgeqrf,8000,1000,16,0,3,1.585636e+00,4.306125e+02
parsec,cpu,lfq,sgeqrf,16000,1000,16,0,1,6.010626e+00,9.086983e+02
parsec,cpu,lfq,sgeqrf,16000,1000,16,0,2,6.135016e+00,8.902740e+02
parsec,cpu,lfq,sgeqrf,16000,1000,16,0,3,6.071833e+00,8.995382e+02
parsec,cpu,lfq,sgeqrf,24000,1000,16,0,1,1.856258e+01,9.930277e+02
parsec,cpu,lfq,sgeqrf,24000,1000,16,0,2,1.858363e+01,9.919029e+02
parsec,cpu,lfq,sgeqrf,24000,1000,16,0,3,1.861528e+01,9.902161e+02
parsec,gpu,lfq,sgemm,8000,1000,8,1,1,2.882290e-01,3.552731e+03
parsec,gpu,lfq,sgemm,8000,1000,8,1,2,2.859221e-01,3.581396e+03
parsec,gpu,lfq,sgemm,8000,1000,8,1,3,2.779679e-01,3.683878e+03
parsec,gpu,lfq,sgemm,16000,1000,8,1,1,1.742184e+00,4.702144e+03
parsec,gpu,lfq,sgemm,16000,1000,8,1,2,1.746550e+00,4.690389e+03
parsec,gpu,lfq,sgemm,16000,1000,8,1,3,1.817677e+00,4.506851e+03
parsec,gpu,lfq,sgemm,24000,1000,8,1,1,5.510503e+00,5.017328e+03
parsec,gpu,lfq,sgemm,24000,1000,8,1,2,5.439401e+00,5.082913e+03
parsec,gpu,lfq,sgemm,24000,1000,8,1,3,5.405005e+00,5.115259e+03
parsec,gpu,lfq,spotrf,8000,1000,8,1,1,1.006520e-01,1.695930e+03
parsec,gpu,lfq,spotrf,8000,1000,8,1,2,1.013591e-01,1.684098e+03
parsec,gpu,lfq,spotrf,8000,1000,8,1,3,1.008961e-01,1.691826e+03
parsec,gpu,lfq,spotrf,16000,1000,8,1,1,4.058568e-01,3.364392e+03
parsec,gpu,lfq,spotrf,16000,1000,8,1,2,4.040668e-01,3.379296e+03
parsec,gpu,lfq,spotrf,16000,1000,8,1,3,4.035559e-01,3.383574e+03
parsec,gpu,lfq,spotrf,24000,1000,8,1,1,1.140003e+00,4.042347e+03
parsec,gpu,lfq,spotrf,24000,1000,8,1,2,1.139442e+00,4.044338e+03
parsec,gpu,lfq,spotrf,24000,1000,8,1,3,1.163223e+00,3.961655e+03
parsec,gpu,lfq,sgeqrf,8000,1000,8,1,1,4.462430e-01,1.530096e+03
parsec,gpu,lfq,sgeqrf,8000,1000,8,1,2,4.372220e-01,1.561666e+03
parsec,gpu,lfq,sgeqrf,8000,1000,8,1,3,3.893001e-01,1.753903e+03
parsec,gpu,lfq,sgeqrf,16000,1000,8,1,1,1.821385e+00,2.998732e+03
parsec,gpu,lfq,sgeqrf,16000,1000,8,1,2,1.838693e+00,2.970504e+03
parsec,gpu,lfq,sgeqrf,16000,1000,8,1,3,1.854026e+00,2.945938e+03
parsec,gpu,lfq,sgeqrf,24000,1000,8,1,1,5.809785e+00,3.172777e+03
parsec,gpu,lfq,sgeqrf,24000,1000,8,1,2,5.840780e+00,3.155940e+03
parsec,gpu,lfq,sgeqrf,24000,1000,8,1,3,5.783258e+00,3.187330e+03
