runtime,scheduler,algorithm,precision,n,b,threads,gpus,rep,time,gflops
starpu,dmda,dgeqrf,FP64,19200,480,16,1,1,1.324587e+01,7.125181e+02
starpu,dmda,spotrf,FP32,19200,480,16,1,1,4.067128e-01,5.801343e+03
starpu,dmda,dpotrf,FP64,19200,1440,16,1,1,3.115841e+00,7.572531e+02
starpu,dmda,dpotrf,FP64,19200,1920,16,1,1,3.015239e+00,7.825185e+02
starpu,dmda,dpotrf,FP64,19200,960,16,1,1,2.436116e+00,9.685419e+02
starpu,dmda,sgeqrf,FP32,19200,720,16,1,1,3.001417e+00,3.144489e+03
starpu,dmda,spotrf,FP32,19200,960,16,1,1,2.676608e-01,8.815187e+03
starpu,dmda,sgeqrf,FP32,19200,1440,16,1,1,2.003837e+00,4.709925e+03
starpu,dmda,spotrf,FP32,19200,720,16,1,1,3.407538e-01,6.924296e+03
starpu,dmda,sgeqrf,FP32,19200,1920,16,1,1,2.694733e+00,3.502359e+03
starpu,dmda,dpotrf,FP64,19200,480,16,1,1,2.511408e+00,9.395049e+02
starpu,dmda,dgeqrf,FP64,19200,1920,16,1,1,1.822633e+01,5.178180e+02
starpu,dmda,dgeqrf,FP64,19200,960,16,1,1,1.615097e+01,5.843562e+02
starpu,dmda,sgeqrf,FP32,19200,480,16,1,1,4.237897e+00,2.227030e+03
starpu,dmda,dpotrf,FP64,19200,720,16,1,1,2.856600e+00,8.259752e+02
starpu,dmda,spotrf,FP32,19200,1920,16,1,1,2.429846e-01,9.710411e+03
starpu,dmda,dgeqrf,FP64,19200,720,16,1,1,1.461877e+01,6.456028e+02
starpu,dmda,sgeqrf,FP32,19200,960,16,1,1,2.301036e+00,4.101597e+03
starpu,dmda,dgeqrf,FP64,19200,1440,16,1,1,1.544915e+01,6.109023e+02
starpu,dmda,spotrf,FP32,19200,1440,16,1,1,2.431792e-01,9.702639e+03
starpu,dmda,dpotrf,FP64,19200,720,16,1,2,2.602289e+00,9.066941e+02
starpu,dmda,dpotrf,FP64,19200,1440,16,1,2,2.890567e+00,8.162690e+02
starpu,dmda,dpotrf,FP64,19200,480,16,1,2,2.636864e+00,8.948055e+02
starpu,dmda,spotrf,FP32,19200,1440,16,1,2,2.426536e-01,9.723655e+03
starpu,dmda,dpotrf,FP64,19200,1920,16,1,2,3.276226e+00,7.201823e+02
starpu,dmda,spotrf,FP32,19200,480,16,1,2,3.546920e-01,6.652195e+03
