runtime,scheduler,algorithm,precision,n,b,threads,gpus,rep,time,gflops
starpu,dmda,dgeqrf,FP64,19200,960,16,1,1,1.609880e+01,5.862500e+02
starpu,dmdas,sgeqrf,FP32,19200,960,16,1,1,2.335695e+00,4.040734e+03
starpu,dmda,spotrf,FP32,19200,960,16,1,1,2.569533e-01,9.182525e+03
starpu,dmda,dpotrf,FP64,19200,960,16,1,1,2.396916e+00,9.843818e+02
starpu,dmda,sgeqrf,FP32,19200,960,16,1,1,2.324769e+00,4.059725e+03
starpu,dmdas,spotrf,FP32,19200,960,16,1,1,2.452141e-01,9.622123e+03
starpu,dmdas,dpotrf,FP64,19200,960,16,1,1,2.433606e+00,9.695410e+02
starpu,dmdas,dgeqrf,FP64,19200,960,16,1,1,1.653979e+01,5.706193e+02
starpu,dmdas,spotrf,FP32,19200,960,16,1,2,2.470354e-01,9.551184e+03
starpu,dmda,dpotrf,FP64,19200,960,16,1,2,2.448160e+00,9.637771e+02
starpu,dmdas,dgeqrf,FP64,19200,960,16,1,2,1.650643e+01,5.717723e+02
starpu,dmdas,dpotrf,FP64,19200,960,16,1,2,2.377526e+00,9.924097e+02
starpu,dmda,spotrf,FP32,19200,960,16,1,2,2.545256e-01,9.270112e+03
starpu,dmda,dgeqrf,FP64,19200,960,16,1,2,1.627358e+01,5.799535e+02
starpu,dmda,sgeqrf,FP32,19200,960,16,1,2,2.325599e+00,4.058275e+03
starpu,dmdas,sgeqrf,FP32,19200,960,16,1,2,2.302065e+00,4.099764e+03
starpu,dmda,sgeqrf,FP32,19200,960,16,1,3,2.310175e+00,4.085372e+03
starpu,dmdas,dpotrf,FP64,19200,960,16,1,3,2.387436e+00,9.882906e+02
starpu,dmda,dgeqrf,FP64,19200,960,16,1,3,1.633685e+01,5.777075e+02
starpu,dmdas,sgeqrf,FP32,19200,960,16,1,3,2.345853e+00,4.023237e+03
starpu,dmda,spotrf,FP32,19200,960,16,1,3,2.821201e-01,8.363390e+03
starpu,dmdas,dgeqrf,FP64,19200,960,16,1,3,1.662699e+01,5.676265e+02
starpu,dmda,dpotrf,FP64,19200,960,16,1,3,2.703880e+00,8.726276e+02
starpu,dmdas,spotrf,FP32,19200,960,16,1,3,2.482840e-01,9.503152e+03
starpu,dmdas,sgeqrf,FP32,19200,960,16,1,4,2.357735e+00,4.002961e+03
starpu,dmda,sgeqrf,FP32,19200,960,16,1,4,2.312763e+00,4.080799e+03
starpu,dmdas,dpotrf,FP64,19200,960,16,1,4,2.378938e+00,9.918207e+02
starpu,dmdas,dgeqrf,FP64,19200,960,16,1,4,1.640521e+01,5.753002e+02
starpu,dmda,dpotrf,FP64,19200,960,16,1,4,2.501633e+00,9.431762e+02
starpu,dmda,spotrf,FP32,19200,960,16,1,4,2.559959e-01,9.216867e+03
starpu,dmda,dgeqrf,FP64,19200,960,16,1,4,1.624266e+01,5.810576e+02
starpu,dmdas,spotrf,FP32,19200,960,16,1,4,2.443905e-01,9.654551e+03
starpu,dmdas,sgeqrf,FP32,19200,960,16,1,5,2.375094e+00,3.973704e+03
starpu,dmdas,dpotrf,FP64,19200,960,16,1,5,2.403802e+00,9.815619e+02
starpu,dmdas,dgeqrf,FP64,19200,960,16,1,5,1.652447e+01,5.711483e+02
starpu,dmda,spotrf,FP32,19200,960,16,1,5,2.733733e-01,8.630983e+03
starpu,dmda,dgeqrf,FP64,19200,960,16,1,5,1.631104e+01,5.786218e+02
starpu,dmdas,spotrf,FP32,19200,960,16,1,5,2.471304e-01,9.547511e+03
starpu,dmda,sgeqrf,FP32,19200,960,16,1,5,2.301982e+00,4.099910e+03
starpu,dmda,dpotrf,FP64,19200,960,16,1,5,2.533353e+00,9.313666e+02
starpu,dmdas,dpotrf,FP64,19200,960,16,1,6,2.403900e+00,9.815219e+02
starpu,dmda,spotrf,FP32,19200,960,16,1,6,2.639461e-01,8.939251e+03
starpu,dmdas,spotrf,FP32,19200,960,16,1,6,2.467920e-01,9.560604e+03
starpu,dmdas,sgeqrf,FP32,19200,960,16,1,6,2.332756e+00,4.045825e+03
starpu,dmda,sgeqrf,FP32,19200,960,16,1,6,2.280019e+00,4.139405e+03
starpu,dmda,dpotrf,FP64,19200,960,16,1,6,2.489156e+00,9.479038e+02
starpu,dmda,dgeqrf,FP64,19200,960,16,1,6,1.631941e+01,5.783249e+02
starpu,dmdas,dgeqrf,FP64,19200,960,16,1,6,1.659513e+01,5.687164e+02
starpu,dmdas,sgeqrf,FP32,19200,960,16,1,7,2.314236e+00,4.078202e+03
starpu,dmda,sgeqrf,FP32,19200,960,16,1,7,2.280614e+00,4.138324e+03
starpu,dmda,dpotrf,FP64,19200,960,16,1,7,2.498091e+00,9.445133e+02
starpu,dmda,spotrf,FP32,19200,960,16,1,7,2.529281e-01,9.328659e+03
starpu,dmdas,dgeqrf,FP64,19200,960,16,1,7,1.677810e+01,5.625142e+02
starpu,dmdas,dpotrf,FP64,19200,960,16,1,7,2.413096e+00,9.777812e+02
starpu,dmdas,spotrf,FP32,19200,960,16,1,7,2.446748e-01,9.643334e+03
starpu,dmda,dgeqrf,FP64,19200,960,16,1,7,1.630513e+01,5.788312e+02
starpu,dmdas,sgeqrf,FP32,19200,960,16,1,8,2.275003e+00,4.148531e+03
starpu,dmdas,dgeqrf,FP64,19200,960,16,1,8,1.654003e+01,5.706107e+02
starpu,dmdas,spotrf,FP32,19200,960,16,1,8,2.563571e-01,9.203880e+03
starpu,dmdas,dpotrf,FP64,19200,960,16,1,8,2.437346e+00,9.680532e+02
starpu,dmda,spotrf,FP32,19200,960,16,1,8,2.852915e-01,8.270419e+03
starpu,dmda,sgeqrf,FP32,19200,960,16,1,8,2.271468e+00,4.154988e+03
starpu,dmda,dpotrf,FP64,19200,960,16,1,8,2.504658e+00,9.420369e+02
starpu,dmda,dgeqrf,FP64,19200,960,16,1,8,1.628911e+01,5.794009e+02
starpu,dmdas,dpotrf,FP64,19200,960,16,1,9,2.496291e+00,9.451946e+02
starpu,dmda,dgeqrf,FP64,19200,960,16,1,9,1.609712e+01,5.863113e+02
starpu,dmdas,spotrf,FP32,19200,960,16,1,9,2.473093e-01,9.540605e+03
starpu,dmda,spotrf,FP32,19200,960,16,1,9,2.743410e-01,8.600540e+03
starpu,dmda,sgeqrf,FP32,19200,960,16,1,9,2.282405e+00,4.135077e+03
starpu,dmdas,sgeqrf,FP32,19200,960,16,1,9,2.329453e+00,4.051561e+03
starpu,dmdas,dgeqrf,FP64,19200,960,16,1,9,1.650347e+01,5.718751e+02
starpu,dmda,dpotrf,FP64,19200,960,16,1,9,2.463506e+00,9.577734e+02
starpu,dmda,dpotrf,FP64,19200,960,16,1,10,2.474843e+00,9.533859e+02
starpu,dmdas,dgeqrf,FP64,19200,960,16,1,10,1.666643e+01,5.662833e+02
starpu,dmdas,dpotrf,FP64,19200,960,16,1,10,2.395619e+00,9.849147e+02
starpu,dmda,spotrf,FP32,19200,960,16,1,10,2.729534e-01,8.644261e+03
starpu,dmdas,sgeqrf,FP32,19200,960,16,1,10,2.367809e+00,3.985930e+03
starpu,dmda,dgeqrf,FP64,19200,960,16,1,10,1.621384e+01,5.820906e+02
starpu,dmda,sgeqrf,FP32,19200,960,16,1,10,2.312160e+00,4.081863e+03
starpu,dmdas,spotrf,FP32,19200,960,16,1,10,2.461329e-01,9.586204e+03
parsec,lfq,spotrf,FP32,19200,960,16,1,1,9.299231e-01,2.537286e+03
parsec,gd,dpotrf,FP64,19200,960,16,1,1,2.800547e+00,8.425070e+02
parsec,lfq,dgeqrf,FP64,19200,960,16,1,1,2.524642e+01,3.738321e+02
parsec,gd,spotrf,FP32,19200,960,16,1,1,6.952541e-01,3.393695e+03
parsec,lfq,sgeqrf,FP32,19200,960,16,1,1,3.467691e+00,2.721673e+03
parsec,lfq,dpotrf,FP64,19200,960,16,1,1,2.820167e+00,8.366456e+02
parsec,gd,sgeqrf,FP32,19200,960,16,1,1,3.648846e+00,2.586550e+03
parsec,gd,dgeqrf,FP64,19200,960,16,1,1,2.480376e+01,3.805036e+02
parsec,lfq,spotrf,FP32,19200,960,16,1,2,7.073698e-01,3.335568e+03
parsec,gd,sgeqrf,FP32,19200,960,16,1,2,3.609293e+00,2.614895e+03
parsec,gd,dpotrf,FP64,19200,960,16,1,2,2.750711e+00,8.577711e+02
parsec,gd,dgeqrf,FP64,19200,960,16,1,2,2.373591e+01,3.976221e+02
parsec,lfq,dgeqrf,FP64,19200,960,16,1,2,2.465022e+01,3.828738e+02
parsec,gd,spotrf,FP32,19200,960,16,1,2,7.789829e-01,3.028924e+03
parsec,lfq,dpotrf,FP64,19200,960,16,1,2,2.959465e+00,7.972658e+02
parsec,lfq,sgeqrf,FP32,19200,960,16,1,2,3.566502e+00,2.646268e+03
parsec,lfq,dpotrf,FP64,19200,960,16,1,3,3.477610e+00,6.784775e+02
parsec,gd,dpotrf,FP64,19200,960,16,1,3,2.977987e+00,7.923071e+02
parsec,gd,sgeqrf,FP32,19200,960,16,1,3,3.526194e+00,2.676518e+03
parsec,lfq,sgeqrf,FP32,19200,960,16,1,3,3.521239e+00,2.680284e+03
parsec,lfq,spotrf,FP32,19200,960,16,1,3,9.670899e-01,2.439774e+03
parsec,lfq,dgeqrf,FP64,19200,960,16,1,3,2.526538e+01,3.735515e+02
parsec,gd,spotrf,FP32,19200,960,16,1,3,7.241731e-01,3.258172e+03
parsec,gd,dgeqrf,FP64,19200,960,16,1,3,2.444075e+01,3.861551e+02
parsec,lfq,dpotrf,FP64,19200,960,16,1,4,3.087742e+00,7.641443e+02
parsec,gd,dgeqrf,FP64,19200,960,16,1,4,2.429731e+01,3.884349e+02
parsec,gd,spotrf,FP32,19200,960,16,1,4,6.957829e-01,3.391116e+03
parsec,lfq,dgeqrf,FP64,19200,960,16,1,4,2.503288e+01,3.770210e+02
parsec,lfq,sgeqrf,FP32,19200,960,16,1,4,3.516215e+00,2.684114e+03
parsec,gd,sgeqrf,FP32,19200,960,16,1,4,4.099809e+00,2.302039e+03
parsec,gd,dpotrf,FP64,19200,960,16,1,4,2.925817e+00,8.064347e+02
parsec,lfq,spotrf,FP32,19200,960,16,1,4,6.869640e-01,3.434649e+03
parsec,gd,sgeqrf,FP32,19200,960,16,1,5,5.435109e+00,1.736473e+03
parsec,lfq,dgeqrf,FP64,19200,960,16,1,5,2.549947e+01,3.701222e+02
parsec,gd,dgeqrf,FP64,19200,960,16,1,5,2.358028e+01,4.002464e+02
parsec,lfq,dpotrf,FP64,19200,960,16,1,5,3.002021e+00,7.859639e+02
parsec,lfq,sgeqrf,FP32,19200,960,16,1,5,3.467809e+00,2.721581e+03
parsec,lfq,spotrf,FP32,19200,960,16,1,5,6.878300e-01,3.430325e+03
parsec,gd,spotrf,FP32,19200,960,16,1,5,9.674599e-01,2.438840e+03
parsec,gd,dpotrf,FP64,19200,960,16,1,5,3.022987e+00,7.805129e+02
parsec,gd,spotrf,FP32,19200,960,16,1,6,9.500890e-01,2.483431e+03
parsec,lfq,dgeqrf,FP64,19200,960,16,1,6,2.612982e+01,3.611935e+02
parsec,gd,dpotrf,FP64,19200,960,16,1,6,2.981204e+00,7.914521e+02
parsec,gd,dgeqrf,FP64,19200,960,16,1,6,2.502372e+01,3.771590e+02
parsec,gd,sgeqrf,FP32,19200,960,16,1,6,3.426019e+00,2.754778e+03
parsec,lfq,spotrf,FP32,19200,960,16,1,6,9.316330e-01,2.532629e+03
parsec,lfq,sgeqrf,FP32,19200,960,16,1,6,3.967024e+00,2.379094e+03
parsec,lfq,dpotrf,FP64,19200,960,16,1,6,3.033108e+00,7.779084e+02
parsec,lfq,dpotrf,FP64,19200,960,16,1,7,3.204310e+00,7.363458e+02
parsec,gd,sgeqrf,FP32,19200,960,16,1,7,3.713701e+00,2.541379e+03
parsec,lfq,dgeqrf,FP64,19200,960,16,1,7,2.546959e+01,3.705564e+02
parsec,gd,dgeqrf,FP64,19200,960,16,1,7,2.423572e+01,3.894220e+02
parsec,gd,spotrf,FP32,19200,960,16,1,7,9.445369e-01,2.498029e+03
parsec,lfq,sgeqrf,FP32,19200,960,16,1,7,3.531469e+00,2.672520e+03
parsec,lfq,spotrf,FP32,19200,960,16,1,7,8.886909e-01,2.655007e+03
parsec,gd,dpotrf,FP64,19200,960,16,1,7,2.956228e+00,7.981388e+02
parsec,lfq,dgeqrf,FP64,19200,960,16,1,8,2.573270e+01,3.667677e+02
parsec,gd,sgeqrf,FP32,19200,960,16,1,8,3.471173e+00,2.718943e+03
parsec,gd,spotrf,FP32,19200,960,16,1,8,8.654370e-01,2.726345e+03
parsec,lfq,dpotrf,FP64,19200,960,16,1,8,3.190229e+00,7.395959e+02
parsec,lfq,sgeqrf,FP32,19200,960,16,1,8,3.443470e+00,2.740817e+03
parsec,lfq,spotrf,FP32,19200,960,16,1,8,8.630970e-01,2.733737e+03
parsec,gd,dpotrf,FP64,19200,960,16,1,8,2.823132e+00,8.357670e+02
parsec,gd,dgeqrf,FP64,19200,960,16,1,8,2.542477e+01,3.712098e+02
parsec,lfq,dgeqrf,FP64,19200,960,16,1,9,2.595533e+01,3.636217e+02
parsec,lfq,spotrf,FP32,19200,960,16,1,9,9.669850e-01,2.440038e+03
parsec,gd,dgeqrf,FP64,19200,960,16,1,9,2.403851e+01,3.926167e+02
parsec,lfq,dpotrf,FP64,19200,960,16,1,9,2.882217e+00,8.186338e+02
parsec,gd,spotrf,FP32,19200,960,16,1,9,9.418230e-01,2.505227e+03
parsec,gd,sgeqrf,FP32,19200,960,16,1,9,3.675243e+00,2.567972e+03
parsec,lfq,sgeqrf,FP32,19200,960,16,1,9,3.479215e+00,2.712658e+03
parsec,gd,dpotrf,FP64,19200,960,16,1,9,3.004853e+00,7.852232e+02
parsec,gd,dgeqrf,FP64,19200,960,16,1,10,2.529930e+01,3.730506e+02
parsec,lfq,sgeqrf,FP32,19200,960,16,1,10,3.522682e+00,2.679186e+03
parsec,gd,spotrf,FP32,19200,960,16,1,10,7.656059e-01,3.081847e+03
parsec,lfq,dpotrf,FP64,19200,960,16,1,10,2.915639e+00,8.092498e+02
parsec,lfq,spotrf,FP32,19200,960,16,1,10,6.759450e-01,3.490639e+03
parsec,lfq,dgeqrf,FP64,19200,960,16,1,10,2.552665e+01,3.697281e+02
parsec,gd,dpotrf,FP64,19200,960,16,1,10,2.966409e+00,7.953995e+02
parsec,gd,sgeqrf,FP32,19200,960,16,1,10,3.852329e+00,2.449926e+03
