runtime,scheduler,algorithm,n,b,threads,gpus,rep,time,gflops
starpu,dmda,spotrf,9600,960,16,1,1,6.444003e-02,4.577249e+03
starpu,dmda,spotrf,9600,960,16,1,2,6.463960e-02,4.563117e+03
starpu,dmda,spotrf,9600,960,16,1,3,6.400605e-02,4.608284e+03
starpu,dmda,spotrf,19200,960,16,1,1,2.747380e-01,8.588112e+03
starpu,dmda,spotrf,19200,960,16,1,2,2.641908e-01,8.930970e+03
starpu,dmda,spotrf,19200,960,16,1,3,2.693676e-01,8.759332e+03
starpu,dmda,spotrf,28800,960,16,1,1,7.305318e-01,1.090033e+04
starpu,dmda,spotrf,28800,960,16,1,2,7.355630e-01,1.082577e+04
starpu,dmda,spotrf,28800,960,16,1,3,7.986829e-01,9.970214e+03
starpu,dmda,spotrf,38400,960,16,1,1,1.945991e+00,9.699484e+03
starpu,dmda,spotrf,38400,960,16,1,2,1.870028e+00,1.009349e+04
starpu,dmda,spotrf,38400,960,16,1,3,2.012648e+00,9.378246e+03
starpu,dmda,spotrf,48000,960,16,1,1,3.695574e+00,9.975487e+03
starpu,dmda,spotrf,48000,960,16,1,2,3.987635e+00,9.244867e+03
starpu,dmda,spotrf,48000,960,16,1,3,4.214333e+00,8.747565e+03
starpu,dmda,sgeqrf,9600,960,16,1,1,4.030935e-01,2.926945e+03
starpu,dmda,sgeqrf,9600,960,16,1,2,4.347949e-01,2.713538e+03
starpu,dmda,sgeqrf,9600,960,16,1,3,4.082032e-01,2.890306e+03
starpu,dmda,sgeqrf,19200,960,16,1,1,2.302160e+00,4.099594e+03
starpu,dmda,sgeqrf,19200,960,16,1,2,2.254608e+00,4.186058e+03
starpu,dmda,sgeqrf,19200,960,16,1,3,2.291841e+00,4.118052e+03
starpu,dmda,sgeqrf,28800,960,16,1,1,7.207385e+00,4.419377e+03
starpu,dmda,sgeqrf,28800,960,16,1,2,7.272158e+00,4.380014e+03
starpu,dmda,sgeqrf,28800,960,16,1,3,7.177386e+00,4.437849e+03
starpu,dmda,sgeqrf,38400,960,16,1,1,1.711034e+01,4.412561e+03
starpu,dmda,sgeqrf,38400,960,16,1,2,2.056178e+01,3.671881e+03
starpu,dmda,sgeqrf,38400,960,16,1,3,1.694221e+01,4.456349e+03
starpu,dmda,sgeqrf,48000,960,16,1,1,3.903619e+01,3.777536e+03
starpu,dmda,sgeqrf,48000,960,16,1,2,3.508039e+01,4.203506e+03
starpu,dmda,sgeqrf,48000,960,16,1,3,4.162020e+01,3.543006e+03
parsec,lfq,spotrf,9600,960,16,1,1,1.721451e-01,1.713427e+03
parsec,lfq,spotrf,9600,960,16,1,2,2.046361e-01,1.441379e+03
parsec,lfq,spotrf,9600,960,16,1,3,2.065849e-01,1.427781e+03
parsec,lfq,spotrf,19200,960,16,1,1,9.849770e-01,2.395467e+03
parsec,lfq,spotrf,19200,960,16,1,2,9.214711e-01,2.560558e+03
parsec,lfq,spotrf,19200,960,16,1,3,9.629118e-01,2.450360e+03
parsec,lfq,spotrf,28800,960,16,1,1,2.951046e+00,2.698378e+03
parsec,lfq,spotrf,28800,960,16,1,2,2.205484e+00,3.610563e+03
parsec,lfq,spotrf,28800,960,16,1,3,2.886248e+00,2.758959e+03
parsec,lfq,spotrf,38400,960,16,1,1,5.085499e+00,3.711554e+03
parsec,lfq,spotrf,38400,960,16,1,2,6.527409e+00,2.891669e+03
parsec,lfq,spotrf,38400,960,16,1,3,4.595541e+00,4.107265e+03
parsec,lfq,spotrf,48000,960,16,1,1,1.243948e+01,2.963562e+03
parsec,lfq,spotrf,48000,960,16,1,2,1.234828e+01,2.985449e+03
parsec,lfq,spotrf,48000,960,16,1,3,1.249893e+01,2.949465e+03
parsec,lfq,sgeqrf,9600,960,16,1,1,9.573441e-01,1.232402e+03
parsec,lfq,sgeqrf,9600,960,16,1,2,8.883810e-01,1.328070e+03
parsec,lfq,sgeqrf,9600,960,16,1,3,8.339150e-01,1.414811e+03
parsec,lfq,sgeqrf,19200,960,16,1,1,3.589295e+00,2.629464e+03
parsec,lfq,sgeqrf,19200,960,16,1,2,4.064297e+00,2.322153e+03
parsec,lfq,sgeqrf,19200,960,16,1,3,5.470272e+00,1.725311e+03
parsec,lfq,sgeqrf,28800,960,16,1,1,1.077222e+01,2.956879e+03
parsec,lfq,sgeqrf,28800,960,16,1,2,1.088965e+01,2.924993e+03
parsec,lfq,sgeqrf,28800,960,16,1,3,1.806199e+01,1.763491e+03
parsec,lfq,sgeqrf,38400,960,16,1,1,2.476206e+01,3.049036e+03
parsec,lfq,sgeqrf,38400,960,16,1,2,2.487465e+01,3.035236e+03
parsec,lfq,sgeqrf,38400,960,16,1,3,2.532125e+01,2.981702e+03
parsec,lfq,sgeqrf,48000,960,16,1,1,4.875295e+01,3.024650e+03
parsec,lfq,sgeqrf,48000,960,16,1,2,5.661755e+01,2.604504e+03
parsec,lfq,sgeqrf,48000,960,16,1,3,4.827996e+01,3.054282e+03
