runtime,scheduler,algorithm,precision,n,b,threads,gpus,rep,time,gflops
starpu,dmda,dgeqrf,FP64,19200,960,16,1,1,1.630488e+01,5.788402e+02
starpu,dmdas,sgeqrf,FP32,19200,960,16,1,1,2.376666e+00,3.971075e+03
starpu,dmda,spotrf,FP32,19200,960,16,1,1,2.758511e-01,8.553458e+03
starpu,dmda,dpotrf,FP64,19200,960,16,1,1,2.455466e+00,9.609092e+02
starpu,dmda,sgeqrf,FP32,19200,960,16,1,1,2.344254e+00,4.025981e+03
starpu,dmdas,spotrf,FP32,19200,960,16,1,1,2.494851e-01,9.457400e+03
starpu,dmdas,dpotrf,FP64,19200,960,16,1,1,2.464121e+00,9.575343e+02
starpu,dmdas,dgeqrf,FP64,19200,960,16,1,1,1.663893e+01,5.672193e+02
parsec,lfq,spotrf,FP32,19200,960,16,1,1,9.826610e-01,2.401113e+03
parsec,gd,dpotrf,FP64,19200,960,16,1,1,3.406528e+00,6.926349e+02
parsec,lfq,dgeqrf,FP64,19200,960,16,1,1,2.556339e+01,3.691968e+02
parsec,gd,spotrf,FP32,19200,960,16,1,1,9.688592e-01,2.435318e+03
parsec,lfq,sgeqrf,FP32,19200,960,16,1,1,3.815172e+00,2.473787e+03
parsec,lfq,dpotrf,FP64,19200,960,16,1,1,3.020692e+00,7.811059e+02
parsec,gd,sgeqrf,FP32,19200,960,16,1,1,3.486294e+00,2.707150e+03
parsec,gd,dgeqrf,FP64,19200,960,16,1,1,2.359792e+01,3.999471e+02
