===============================================================
Date        : Tue May  5 01:29:31 PM -03 2026
SubmitHost  : cei1
SubmitDir   : /home/users/matregnago/intro_hpc
JobID       : 781234
Node(s)     : cei1
===============================================================
[13:29:47] 0001_starpu_lws_geqrf_n11520_b320_r1
[13:29:57] 0002_starpu_dmda_geqrf_n15360_b320_r4
[13:30:24] 0003_starpu_lws_potrf_n3840_b320_r5
[13:30:24] 0004_starpu_dmda_potrf_n19200_b320_r1
[13:30:34] 0005_starpu_dmda_geqrf_n11520_b320_r1
[13:30:46] 0010_starpu_lws_geqrf_n7680_b320_r5
[13:30:49] 0013_starpu_lws_potrf_n19200_b320_r5
[13:30:59] 0014_starpu_dmda_potrf_n11520_b320_r4
[13:31:01] 0015_starpu_dmda_geqrf_n19200_b320_r1
[13:31:51] 0017_starpu_lws_potrf_n15360_b320_r2
[13:31:56] 0023_starpu_dmda_potrf_n3840_b320_r2
[13:31:57] 0027_starpu_dmda_potrf_n15360_b320_r5
[13:32:02] 0030_starpu_dmda_geqrf_n19200_b320_r5
[13:32:52] 0032_starpu_dmda_potrf_n1920_b320_r2
[13:32:53] 0033_starpu_dmda_potrf_n7680_b320_r4
[13:32:54] 0035_starpu_lws_potrf_n7680_b320_r3
[13:32:54] 0037_starpu_dmda_geqrf_n7680_b320_r1
[13:32:59] 0038_starpu_lws_potrf_n19200_b320_r3
[13:33:08] 0040_starpu_dmda_geqrf_n11520_b320_r5
[13:33:20] 0042_starpu_lws_potrf_n7680_b320_r1
[13:33:21] 0044_starpu_lws_geqrf_n1920_b320_r1
[13:33:21] 0045_starpu_lws_geqrf_n7680_b320_r3
[13:33:25] 0047_starpu_dmda_geqrf_n7680_b320_r4
[13:33:29] 0048_starpu_dmda_potrf_n19200_b320_r5
[13:33:38] 0049_starpu_lws_potrf_n1920_b320_r5
[13:33:39] 0052_starpu_lws_geqrf_n15360_b320_r3
[13:34:03] 0053_starpu_lws_potrf_n3840_b320_r1
[13:34:03] 0055_starpu_dmda_potrf_n1920_b320_r1
[13:34:03] 0056_starpu_lws_potrf_n1920_b320_r4
[13:34:04] 0057_starpu_lws_potrf_n11520_b320_r1
[13:34:06] 0058_starpu_dmda_potrf_n7680_b320_r3
[13:34:07] 0063_starpu_dmda_geqrf_n3840_b320_r5
[13:34:08] 0065_starpu_lws_potrf_n1920_b320_r3
[13:34:08] 0068_starpu_dmda_potrf_n15360_b320_r2
[13:34:13] 0069_starpu_dmda_geqrf_n3840_b320_r4
[13:34:14] 0072_starpu_lws_geqrf_n11520_b320_r3
[13:34:25] 0073_starpu_dmda_geqrf_n15360_b320_r3
[13:34:52] 0075_starpu_dmda_potrf_n11520_b320_r3
[13:34:54] 0076_starpu_lws_geqrf_n3840_b320_r4
[13:34:55] 0077_starpu_lws_potrf_n7680_b320_r4
[13:34:56] 0078_starpu_dmda_potrf_n11520_b320_r5
[13:34:58] 0080_starpu_dmda_potrf_n1920_b320_r5
[13:34:58] 0081_starpu_lws_geqrf_n1920_b320_r4
[13:34:58] 0082_starpu_lws_potrf_n1920_b320_r1
[13:34:59] 0086_starpu_lws_geqrf_n3840_b320_r3
[13:34:59] 0089_starpu_dmda_potrf_n15360_b320_r3
[13:35:04] 0090_starpu_lws_geqrf_n1920_b320_r5
[13:35:05] 0093_starpu_dmda_geqrf_n15360_b320_r2
[13:35:32] 0095_starpu_dmda_geqrf_n11520_b320_r2
[13:35:44] 0098_starpu_lws_geqrf_n1920_b320_r3
[13:35:44] 0101_starpu_dmda_geqrf_n7680_b320_r5
[13:35:49] 0102_starpu_lws_geqrf_n11520_b320_r4
[13:35:59] 0105_starpu_dmda_potrf_n11520_b320_r2
[13:36:02] 0111_starpu_lws_potrf_n11520_b320_r5
[13:36:04] 0113_starpu_dmda_geqrf_n15360_b320_r1
[13:36:31] 0118_starpu_dmda_potrf_n3840_b320_r1
[13:36:31] 0121_starpu_lws_geqrf_n11520_b320_r2
[13:36:42] 0122_starpu_lws_geqrf_n15360_b320_r2
[13:37:06] 0127_starpu_dmda_geqrf_n3840_b320_r1
[13:37:07] 0129_starpu_dmda_potrf_n1920_b320_r4
[13:37:07] 0132_starpu_lws_geqrf_n3840_b320_r2
[13:37:08] 0134_starpu_dmda_geqrf_n7680_b320_r2
[13:37:12] 0138_starpu_lws_geqrf_n15360_b320_r5
[13:37:36] 0139_starpu_lws_potrf_n11520_b320_r2
[13:37:39] 0141_starpu_dmda_geqrf_n7680_b320_r3
[13:37:43] 0142_starpu_dmda_potrf_n15360_b320_r1
[13:37:48] 0145_starpu_lws_potrf_n7680_b320_r5
[13:37:49] 0146_starpu_dmda_potrf_n15360_b320_r4
[13:37:54] 0149_starpu_dmda_potrf_n3840_b320_r5
[13:37:54] 0151_starpu_dmda_geqrf_n19200_b320_r4
[13:38:45] 0155_starpu_lws_geqrf_n7680_b320_r4
[13:38:48] 0156_starpu_lws_potrf_n11520_b320_r4
[13:38:50] 0157_starpu_dmda_potrf_n3840_b320_r4
[13:38:51] 0158_starpu_lws_geqrf_n15360_b320_r4
[13:39:15] 0159_starpu_dmda_geqrf_n1920_b320_r1
[13:39:15] 0160_starpu_dmda_geqrf_n1920_b320_r5
[13:39:16] 0161_starpu_lws_geqrf_n7680_b320_r2
[13:39:19] 0162_starpu_dmda_geqrf_n1920_b320_r4
[13:39:23] 0163_starpu_dmda_geqrf_n19200_b320_r2
[13:40:13] 0166_starpu_lws_potrf_n19200_b320_r1
[13:40:22] 0169_starpu_dmda_potrf_n7680_b320_r5
[13:40:23] 0170_starpu_lws_geqrf_n19200_b320_r4
[13:41:09] 0173_starpu_lws_potrf_n11520_b320_r3
[13:41:11] 0174_starpu_lws_geqrf_n11520_b320_r5
[13:41:22] 0176_starpu_dmda_geqrf_n1920_b320_r3
[13:41:22] 0179_starpu_dmda_potrf_n11520_b320_r1
[13:41:25] 0181_starpu_lws_potrf_n15360_b320_r1
[13:41:30] 0182_starpu_dmda_geqrf_n3840_b320_r2
[13:41:31] 0183_starpu_lws_geqrf_n1920_b320_r2
[13:41:31] 0185_starpu_dmda_geqrf_n19200_b320_r3
[13:42:22] 0186_starpu_lws_potrf_n7680_b320_r2
[13:42:23] 0187_starpu_dmda_potrf_n3840_b320_r3
[13:42:23] 0189_starpu_dmda_potrf_n19200_b320_r4
[13:42:32] 0190_starpu_dmda_geqrf_n1920_b320_r2
[13:42:33] 0191_starpu_lws_potrf_n15360_b320_r5
[13:42:37] 0192_starpu_dmda_geqrf_n3840_b320_r3
[13:42:39] 0195_starpu_dmda_potrf_n19200_b320_r2
[13:42:48] 0198_starpu_lws_geqrf_n3840_b320_r5
[13:42:48] 0200_starpu_dmda_potrf_n19200_b320_r3
[13:42:58] 0203_starpu_lws_geqrf_n7680_b320_r1
[13:43:01] 0205_starpu_lws_potrf_n1920_b320_r2
[13:43:01] 0206_starpu_dmda_potrf_n7680_b320_r2
[13:43:02] 0208_starpu_dmda_geqrf_n15360_b320_r5
[13:43:29] 0209_starpu_lws_geqrf_n19200_b320_r2
[13:44:15] 0210_starpu_dmda_geqrf_n11520_b320_r3
[13:44:27] 0215_starpu_lws_geqrf_n15360_b320_r1
[13:44:51] 0220_starpu_lws_geqrf_n19200_b320_r5
[13:45:37] 0221_starpu_lws_geqrf_n19200_b320_r1
[13:46:23] 0222_starpu_lws_potrf_n15360_b320_r4
[13:46:28] 0223_starpu_lws_potrf_n3840_b320_r3
[13:46:28] 0224_starpu_lws_potrf_n3840_b320_r4
[13:46:29] 0225_starpu_dmda_geqrf_n11520_b320_r4
[13:46:41] 0227_starpu_lws_potrf_n15360_b320_r3
[13:46:46] 0231_starpu_lws_potrf_n19200_b320_r2
[13:46:55] 0233_starpu_lws_geqrf_n3840_b320_r1
[13:46:56] 0234_starpu_lws_geqrf_n19200_b320_r3
[13:47:41] 0235_starpu_dmda_potrf_n1920_b320_r3
[13:47:42] 0236_starpu_dmda_potrf_n7680_b320_r1
[13:47:43] 0238_starpu_lws_potrf_n3840_b320_r2
[13:47:43] 0239_starpu_lws_potrf_n19200_b320_r4
[13:49:16] 0006_parsec_ll_potrf_n11520_b320_r3
[13:49:18] 0007_parsec_ll_potrf_n19200_b320_r5
[13:49:26] 0008_parsec_lfq_potrf_n7680_b320_r3
[13:49:27] 0009_parsec_ll_geqrf_n15360_b320_r2
[13:49:50] 0011_parsec_lfq_potrf_n3840_b320_r2
[13:49:51] 0012_parsec_ll_potrf_n7680_b320_r4
[13:49:51] 0016_parsec_lfq_potrf_n15360_b320_r1
[13:49:56] 0018_parsec_lfq_potrf_n1920_b320_r4
[13:49:56] 0019_parsec_ll_potrf_n7680_b320_r1
[13:49:56] 0020_parsec_ll_potrf_n19200_b320_r2
[13:50:04] 0021_parsec_lfq_geqrf_n3840_b320_r1
[13:50:05] 0022_parsec_lfq_geqrf_n19200_b320_r2
[13:50:50] 0024_parsec_lfq_potrf_n1920_b320_r3
[13:50:50] 0025_parsec_lfq_potrf_n19200_b320_r5
[13:50:58] 0026_parsec_ll_geqrf_n7680_b320_r3
[13:51:01] 0028_parsec_ll_geqrf_n11520_b320_r4
[13:51:11] 0029_parsec_ll_potrf_n15360_b320_r3
[13:51:16] 0031_parsec_lfq_geqrf_n7680_b320_r3
[13:51:19] 0034_parsec_ll_geqrf_n15360_b320_r4
[13:51:42] 0036_parsec_ll_geqrf_n19200_b320_r5
[13:52:27] 0039_parsec_ll_potrf_n15360_b320_r2
[13:52:31] 0041_parsec_lfq_potrf_n11520_b320_r4
[13:52:33] 0043_parsec_ll_geqrf_n3840_b320_r4
[13:52:34] 0046_parsec_ll_geqrf_n1920_b320_r5
[13:52:34] 0050_parsec_ll_potrf_n1920_b320_r3
[13:52:34] 0051_parsec_lfq_potrf_n1920_b320_r1
[13:52:34] 0054_parsec_lfq_potrf_n7680_b320_r2
[13:52:35] 0059_parsec_lfq_potrf_n1920_b320_r2
[13:52:35] 0060_parsec_lfq_geqrf_n3840_b320_r3
[13:52:36] 0061_parsec_lfq_potrf_n19200_b320_r2
[13:52:44] 0062_parsec_ll_potrf_n7680_b320_r3
[13:52:45] 0064_parsec_ll_potrf_n15360_b320_r4
[13:52:49] 0066_parsec_lfq_geqrf_n1920_b320_r3
[13:52:49] 0067_parsec_ll_geqrf_n11520_b320_r1
[13:52:59] 0070_parsec_lfq_potrf_n19200_b320_r4
[13:53:07] 0071_parsec_lfq_potrf_n19200_b320_r1
[13:53:15] 0074_parsec_lfq_geqrf_n11520_b320_r1
[13:53:26] 0079_parsec_ll_geqrf_n11520_b320_r2
[13:53:36] 0083_parsec_ll_geqrf_n3840_b320_r1
[13:53:37] 0084_parsec_ll_potrf_n15360_b320_r1
[13:53:41] 0085_parsec_ll_potrf_n11520_b320_r2
[13:53:43] 0087_parsec_lfq_geqrf_n7680_b320_r2
[13:53:46] 0088_parsec_ll_potrf_n3840_b320_r3
[13:53:46] 0091_parsec_ll_geqrf_n1920_b320_r1
[13:53:47] 0092_parsec_lfq_geqrf_n3840_b320_r5
[13:53:47] 0094_parsec_lfq_geqrf_n19200_b320_r1
[13:54:32] 0096_parsec_ll_potrf_n15360_b320_r5
[13:54:36] 0097_parsec_ll_geqrf_n19200_b320_r1
[13:55:21] 0099_parsec_lfq_potrf_n7680_b320_r5
[13:55:21] 0100_parsec_ll_geqrf_n1920_b320_r3
[13:55:22] 0103_parsec_ll_geqrf_n11520_b320_r5
[13:55:32] 0104_parsec_lfq_geqrf_n15360_b320_r5
[13:55:55] 0106_parsec_lfq_potrf_n1920_b320_r5
[13:55:55] 0107_parsec_ll_potrf_n11520_b320_r5
[13:55:57] 0108_parsec_lfq_potrf_n7680_b320_r4
[13:55:58] 0109_parsec_lfq_geqrf_n11520_b320_r3
[13:56:08] 0110_parsec_lfq_geqrf_n1920_b320_r4
[13:56:09] 0112_parsec_lfq_potrf_n15360_b320_r5
[13:56:13] 0114_parsec_ll_geqrf_n3840_b320_r2
[13:56:13] 0115_parsec_ll_potrf_n1920_b320_r2
[13:56:14] 0116_parsec_lfq_geqrf_n15360_b320_r2
[13:56:37] 0117_parsec_lfq_potrf_n3840_b320_r4
[13:56:37] 0119_parsec_lfq_geqrf_n15360_b320_r3
[13:57:00] 0120_parsec_ll_geqrf_n19200_b320_r4
[13:57:45] 0123_parsec_lfq_potrf_n3840_b320_r1
[13:57:45] 0124_parsec_ll_potrf_n19200_b320_r3
[13:57:53] 0125_parsec_lfq_potrf_n11520_b320_r1
[13:57:55] 0126_parsec_lfq_geqrf_n11520_b320_r4
[13:58:05] 0128_parsec_lfq_potrf_n7680_b320_r1
[13:58:06] 0130_parsec_ll_geqrf_n15360_b320_r3
[13:58:29] 0131_parsec_ll_potrf_n3840_b320_r2
[13:58:29] 0133_parsec_ll_potrf_n1920_b320_r5
[13:58:30] 0135_parsec_lfq_potrf_n3840_b320_r3
[13:58:30] 0136_parsec_ll_geqrf_n1920_b320_r4
[13:58:30] 0137_parsec_ll_geqrf_n1920_b320_r2
[13:58:30] 0140_parsec_lfq_geqrf_n3840_b320_r2
[13:58:31] 0143_parsec_ll_geqrf_n7680_b320_r4
[13:58:34] 0144_parsec_lfq_geqrf_n15360_b320_r1
[13:58:58] 0147_parsec_ll_potrf_n19200_b320_r4
[13:59:06] 0148_parsec_lfq_potrf_n15360_b320_r3
[13:59:10] 0150_parsec_lfq_geqrf_n7680_b320_r5
[13:59:13] 0152_parsec_lfq_geqrf_n19200_b320_r3
[13:59:58] 0153_parsec_ll_geqrf_n15360_b320_r5
[14:00:21] 0154_parsec_lfq_potrf_n11520_b320_r2
[14:00:23] 0164_parsec_ll_potrf_n11520_b320_r4
[14:00:25] 0165_parsec_ll_potrf_n7680_b320_r2
[14:00:26] 0167_parsec_ll_geqrf_n3840_b320_r5
[14:00:26] 0168_parsec_ll_potrf_n1920_b320_r1
[14:00:27] 0171_parsec_lfq_geqrf_n11520_b320_r5
[14:00:37] 0172_parsec_ll_potrf_n3840_b320_r1
[14:00:37] 0175_parsec_lfq_potrf_n19200_b320_r3
[14:00:45] 0177_parsec_lfq_geqrf_n3840_b320_r4
[14:00:46] 0178_parsec_lfq_geqrf_n7680_b320_r1
[14:00:49] 0180_parsec_lfq_potrf_n15360_b320_r2
[14:00:53] 0184_parsec_lfq_potrf_n11520_b320_r3
[14:00:55] 0188_parsec_ll_geqrf_n3840_b320_r3
[14:00:56] 0193_parsec_ll_geqrf_n7680_b320_r2
[14:00:59] 0194_parsec_ll_geqrf_n15360_b320_r1
[14:01:23] 0196_parsec_ll_potrf_n11520_b320_r1
[14:01:25] 0197_parsec_ll_geqrf_n7680_b320_r1
[14:01:28] 0199_parsec_ll_potrf_n19200_b320_r1
[14:01:36] 0201_parsec_ll_geqrf_n7680_b320_r5
[14:01:39] 0202_parsec_lfq_geqrf_n19200_b320_r4
[14:02:24] 0204_parsec_ll_potrf_n7680_b320_r5
[14:02:25] 0207_parsec_lfq_geqrf_n1920_b320_r1
