runtime,scheduler,algorithm,n,b,threads,rep,time,gflops,exit_status
starpu,lws,geqrf,11520,320,24,1,4.826450e+00,4.224010e+02,0
starpu,dmda,geqrf,15360,320,24,4,1.147037e+01,4.212865e+02,0
starpu,lws,potrf,3840,320,24,5,5.828689e-02,3.239449e+02,0
starpu,dmda,potrf,19200,320,24,1,4.086683e+00,5.773583e+02,0
starpu,dmda,geqrf,11520,320,24,1,4.943140e+00,4.124296e+02,0
starpu,lws,geqrf,7680,320,24,5,1.520367e+00,3.973369e+02,0
starpu,lws,potrf,19200,320,24,5,4.070203e+00,5.796959e+02,0
starpu,dmda,potrf,11520,320,24,4,9.046833e-01,5.633732e+02,0
starpu,dmda,geqrf,19200,320,24,1,2.215742e+01,4.259486e+02,0
starpu,lws,potrf,15360,320,24,2,2.147949e+00,5.624332e+02,0
starpu,dmda,potrf,3840,320,24,2,7.669215e-02,2.462017e+02,0
starpu,dmda,potrf,15360,320,24,5,2.113480e+00,5.716058e+02,0
starpu,dmda,geqrf,19200,320,24,5,2.210046e+01,4.270464e+02,0
starpu,dmda,potrf,1920,320,24,2,3.172295e-02,7.443001e+01,0
starpu,dmda,potrf,7680,320,24,4,2.932881e-01,5.149354e+02,0
starpu,lws,potrf,7680,320,24,3,2.819366e-01,5.356681e+02,0
starpu,dmda,geqrf,7680,320,24,1,1.618231e+00,3.733075e+02,0
starpu,lws,potrf,19200,320,24,3,4.074018e+00,5.791532e+02,0
starpu,dmda,geqrf,11520,320,24,5,4.966034e+00,4.105283e+02,0
starpu,lws,potrf,7680,320,24,1,2.899304e-01,5.208990e+02,0
starpu,lws,geqrf,1920,320,24,1,9.432527e-02,1.001276e+02,0
starpu,lws,geqrf,7680,320,24,3,1.519664e+00,3.975206e+02,0
starpu,dmda,geqrf,7680,320,24,4,1.611038e+00,3.749742e+02,0
starpu,dmda,potrf,19200,320,24,5,4.073823e+00,5.791808e+02,0
starpu,lws,potrf,1920,320,24,5,2.334882e-02,1.011246e+02,0
starpu,lws,geqrf,15360,320,24,3,1.149286e+01,4.204618e+02,0
starpu,lws,potrf,3840,320,24,1,5.871268e-02,3.215956e+02,0
starpu,dmda,potrf,1920,320,24,1,2.750543e-02,8.584268e+01,0
starpu,lws,potrf,1920,320,24,4,2.390688e-02,9.876401e+01,0
starpu,lws,potrf,11520,320,24,1,9.153749e-01,5.567929e+02,0
starpu,dmda,potrf,7680,320,24,3,2.904383e-01,5.199879e+02,0
starpu,dmda,geqrf,3840,320,24,5,3.377187e-01,2.236387e+02,0
starpu,lws,potrf,1920,320,24,3,2.401539e-02,9.831775e+01,0
starpu,dmda,potrf,15360,320,24,2,2.085500e+00,5.792747e+02,0
starpu,dmda,geqrf,3840,320,24,4,3.363639e-01,2.245395e+02,0
starpu,lws,geqrf,11520,320,24,3,4.890265e+00,4.168889e+02,0
starpu,dmda,geqrf,15360,320,24,3,1.140049e+01,4.238686e+02,0
starpu,dmda,potrf,11520,320,24,3,9.053026e-01,5.629878e+02,0
starpu,lws,geqrf,3840,320,24,4,2.569631e-01,2.939215e+02,0
starpu,lws,potrf,7680,320,24,4,2.822017e-01,5.351649e+02,0
starpu,dmda,potrf,11520,320,24,5,8.938026e-01,5.702314e+02,0
