===============================================================
Date        : Tue May 12 01:38:43 PM -03 2026
SubmitHost  : cei2
SubmitDir   : /home/users/matregnago/intro_hpc
JobID       : 782024
Node(s)     : cei2
===============================================================
[13:38:55] 0241_starpu_ws_potrf_n19200_b480_blk1
[13:39:03] 0242_starpu_lws_potrf_n2400_b480_blk1
[13:39:03] 0243_starpu_ws_geqrf_n12000_b480_blk1
[13:39:15] 0244_starpu_ws_potrf_n24000_b480_blk1
[13:39:31] 0245_starpu_lws_geqrf_n16800_b480_blk1
[13:40:01] 0246_starpu_lws_potrf_n26400_b480_blk1
[13:40:22] 0247_starpu_lws_potrf_n9600_b480_blk1
[13:40:24] 0248_starpu_ws_potrf_n16800_b480_blk1
[13:40:30] 0249_starpu_ws_geqrf_n24000_b480_blk1
[13:41:57] 0250_starpu_ws_potrf_n12000_b480_blk1
[13:41:59] 0251_starpu_ws_potrf_n14400_b480_blk1
[13:42:03] 0252_starpu_ws_geqrf_n21600_b480_blk1
[13:43:08] 0253_starpu_ws_geqrf_n16800_b480_blk1
[13:43:38] 0254_starpu_lws_geqrf_n24000_b480_blk1
[13:45:05] 0255_starpu_ws_geqrf_n4800_b480_blk1
[13:45:07] 0256_starpu_ws_geqrf_n19200_b480_blk1
[13:45:52] 0257_starpu_ws_potrf_n2400_b480_blk1
[13:45:52] 0258_starpu_lws_geqrf_n7200_b480_blk1
[13:45:55] 0259_starpu_lws_geqrf_n28800_b480_blk1
[13:48:25] 0260_starpu_ws_geqrf_n9600_b480_blk1
[13:48:31] 0261_starpu_lws_geqrf_n2400_b480_blk1
[13:48:32] 0262_starpu_ws_potrf_n26400_b480_blk1
[13:48:53] 0263_starpu_lws_geqrf_n21600_b480_blk1
[13:49:57] 0264_starpu_lws_geqrf_n26400_b480_blk1
[13:51:53] 0265_starpu_lws_potrf_n28800_b480_blk1
[13:52:21] 0266_starpu_lws_potrf_n14400_b480_blk1
[13:52:24] 0267_starpu_lws_potrf_n21600_b480_blk1
[13:52:37] 0268_starpu_ws_geqrf_n14400_b480_blk1
[13:52:56] 0269_starpu_lws_potrf_n16800_b480_blk1
[13:53:02] 0270_starpu_ws_geqrf_n28800_b480_blk1
[13:55:32] 0271_starpu_ws_potrf_n7200_b480_blk1
[13:55:33] 0272_starpu_lws_geqrf_n14400_b480_blk1
[13:55:52] 0273_starpu_lws_geqrf_n19200_b480_blk1
[13:56:38] 0274_starpu_ws_geqrf_n26400_b480_blk1
[13:58:34] 0275_starpu_ws_potrf_n28800_b480_blk1
[13:59:02] 0276_starpu_lws_potrf_n12000_b480_blk1
[13:59:04] 0277_starpu_ws_geqrf_n7200_b480_blk1
[13:59:07] 0278_starpu_ws_potrf_n21600_b480_blk1
[13:59:19] 0279_starpu_lws_geqrf_n12000_b480_blk1
[13:59:31] 0280_starpu_ws_geqrf_n2400_b480_blk1
[13:59:31] 0281_starpu_lws_potrf_n4800_b480_blk1
[13:59:32] 0282_starpu_ws_potrf_n9600_b480_blk1
[13:59:33] 0283_starpu_lws_geqrf_n9600_b480_blk1
[13:59:39] 0284_starpu_lws_potrf_n19200_b480_blk1
[13:59:48] 0285_starpu_ws_potrf_n4800_b480_blk1
[13:59:48] 0286_starpu_lws_potrf_n24000_b480_blk1
[14:00:05] 0287_starpu_lws_potrf_n7200_b480_blk1
[14:00:05] 0288_starpu_lws_geqrf_n4800_b480_blk1
[14:00:07] 0289_starpu_ws_potrf_n19200_b480_blk2
[14:00:15] 0290_starpu_lws_geqrf_n28800_b480_blk2
[14:02:45] 0291_starpu_ws_geqrf_n19200_b480_blk2
[14:03:31] 0292_starpu_ws_potrf_n14400_b480_blk2
[14:03:35] 0293_starpu_ws_potrf_n24000_b480_blk2
[14:03:51] 0294_starpu_lws_potrf_n2400_b480_blk2
[14:03:51] 0295_starpu_ws_potrf_n7200_b480_blk2
[14:03:52] 0296_starpu_lws_geqrf_n26400_b480_blk2
[14:05:47] 0297_starpu_ws_geqrf_n4800_b480_blk2
[14:05:49] 0298_starpu_ws_potrf_n16800_b480_blk2
[14:05:55] 0299_starpu_ws_geqrf_n26400_b480_blk2
[14:07:51] 0300_starpu_ws_geqrf_n24000_b480_blk2
[14:09:19] 0301_starpu_lws_potrf_n9600_b480_blk2
[14:09:20] 0302_starpu_lws_geqrf_n24000_b480_blk2
[14:10:47] 0303_starpu_lws_geqrf_n19200_b480_blk2
[14:11:32] 0304_starpu_lws_potrf_n24000_b480_blk2
[14:11:49] 0305_starpu_ws_geqrf_n14400_b480_blk2
[14:12:09] 0306_starpu_lws_geqrf_n2400_b480_blk2
[14:12:09] 0307_starpu_ws_geqrf_n28800_b480_blk2
[14:14:39] 0308_starpu_ws_potrf_n21600_b480_blk2
[14:14:51] 0309_starpu_lws_potrf_n16800_b480_blk2
[14:14:57] 0310_starpu_ws_geqrf_n2400_b480_blk2
[14:14:58] 0311_starpu_ws_geqrf_n12000_b480_blk2
[14:15:09] 0312_starpu_lws_potrf_n21600_b480_blk2
[14:15:22] 0313_starpu_lws_potrf_n14400_b480_blk2
[14:15:25] 0314_starpu_ws_potrf_n9600_b480_blk2
[14:15:27] 0315_starpu_ws_potrf_n26400_b480_blk2
[14:15:49] 0316_starpu_ws_potrf_n28800_b480_blk2
[14:16:17] 0317_starpu_lws_potrf_n12000_b480_blk2
[14:16:19] 0318_starpu_lws_geqrf_n12000_b480_blk2
[14:16:31] 0319_starpu_lws_potrf_n19200_b480_blk2
[14:16:40] 0320_starpu_ws_geqrf_n9600_b480_blk2
[14:16:46] 0321_starpu_lws_potrf_n7200_b480_blk2
[14:16:47] 0322_starpu_lws_geqrf_n14400_b480_blk2
[14:17:06] 0323_starpu_lws_geqrf_n16800_b480_blk2
[14:17:37] 0324_starpu_ws_geqrf_n16800_b480_blk2
[14:18:08] 0325_starpu_lws_geqrf_n7200_b480_blk2
[14:18:11] 0326_starpu_lws_potrf_n4800_b480_blk2
[14:18:11] 0327_starpu_ws_potrf_n4800_b480_blk2
[14:18:12] 0328_starpu_ws_geqrf_n21600_b480_blk2
[14:19:16] 0329_starpu_ws_geqrf_n7200_b480_blk2
[14:19:19] 0330_starpu_lws_geqrf_n21600_b480_blk2
[14:20:23] 0331_starpu_lws_geqrf_n9600_b480_blk2
[14:20:29] 0332_starpu_lws_geqrf_n4800_b480_blk2
[14:20:31] 0333_starpu_ws_potrf_n2400_b480_blk2
[14:20:31] 0334_starpu_ws_potrf_n12000_b480_blk2
[14:20:33] 0335_starpu_lws_potrf_n28800_b480_blk2
[14:21:02] 0336_starpu_lws_potrf_n26400_b480_blk2
[14:21:23] 0337_starpu_ws_geqrf_n7200_b480_blk3
[14:21:26] 0338_starpu_lws_geqrf_n2400_b480_blk3
[14:21:27] 0339_starpu_ws_geqrf_n14400_b480_blk3
[14:21:46] 0340_starpu_ws_geqrf_n19200_b480_blk3
[14:22:32] 0341_starpu_ws_potrf_n16800_b480_blk3
[14:22:38] 0342_starpu_ws_potrf_n4800_b480_blk3
[14:22:38] 0343_starpu_ws_potrf_n21600_b480_blk3
[14:22:50] 0344_starpu_lws_potrf_n19200_b480_blk3
[14:22:59] 0345_starpu_ws_geqrf_n16800_b480_blk3
[14:23:30] 0346_starpu_lws_geqrf_n7200_b480_blk3
[14:23:33] 0347_starpu_lws_geqrf_n4800_b480_blk3
[14:23:34] 0348_starpu_ws_potrf_n14400_b480_blk3
[14:23:38] 0349_starpu_ws_potrf_n2400_b480_blk3
[14:23:38] 0350_starpu_ws_potrf_n9600_b480_blk3
[14:23:39] 0351_starpu_ws_geqrf_n4800_b480_blk3
[14:23:41] 0352_starpu_lws_geqrf_n24000_b480_blk3
[14:25:08] 0353_starpu_ws_potrf_n7200_b480_blk3
[14:25:09] 0354_starpu_ws_geqrf_n21600_b480_blk3
[14:26:13] 0355_starpu_lws_potrf_n2400_b480_blk3
[14:26:13] 0356_starpu_lws_geqrf_n16800_b480_blk3
[14:26:43] 0357_starpu_lws_geqrf_n14400_b480_blk3
[14:27:03] 0358_starpu_lws_geqrf_n19200_b480_blk3
[14:27:48] 0359_starpu_ws_geqrf_n24000_b480_blk3
[14:29:16] 0360_starpu_lws_geqrf_n12000_b480_blk3
[14:29:28] 0361_starpu_ws_geqrf_n12000_b480_blk3
[14:29:39] 0362_starpu_ws_geqrf_n2400_b480_blk3
[14:29:40] 0363_starpu_ws_potrf_n12000_b480_blk3
[14:29:42] 0364_starpu_lws_geqrf_n26400_b480_blk3
[14:31:38] 0365_starpu_lws_geqrf_n28800_b480_blk3
[14:34:08] 0366_starpu_lws_potrf_n21600_b480_blk3
[14:34:20] 0367_starpu_lws_geqrf_n21600_b480_blk3
[14:35:25] 0368_starpu_ws_geqrf_n28800_b480_blk3
[14:37:54] 0369_starpu_ws_geqrf_n9600_b480_blk3
[14:38:00] 0370_starpu_lws_geqrf_n9600_b480_blk3
[14:38:07] 0371_starpu_lws_potrf_n9600_b480_blk3
[14:38:08] 0372_starpu_lws_potrf_n12000_b480_blk3
[14:38:10] 0373_starpu_lws_potrf_n7200_b480_blk3
[14:38:11] 0374_starpu_lws_potrf_n14400_b480_blk3
[14:38:15] 0375_starpu_ws_potrf_n24000_b480_blk3
[14:38:32] 0376_starpu_lws_potrf_n4800_b480_blk3
[14:38:32] 0377_starpu_lws_potrf_n26400_b480_blk3
[14:38:54] 0378_starpu_lws_potrf_n24000_b480_blk3
[14:39:11] 0379_starpu_ws_potrf_n26400_b480_blk3
[14:39:32] 0380_starpu_lws_potrf_n16800_b480_blk3
[14:39:38] 0381_starpu_ws_potrf_n28800_b480_blk3
[14:40:06] 0382_starpu_ws_geqrf_n26400_b480_blk3
[14:42:03] 0383_starpu_lws_potrf_n28800_b480_blk3
[14:42:30] 0384_starpu_ws_potrf_n19200_b480_blk3
[14:42:39] 0385_starpu_ws_geqrf_n12000_b480_blk4
[14:42:51] 0386_starpu_ws_potrf_n14400_b480_blk4
[14:42:54] 0387_starpu_ws_potrf_n19200_b480_blk4
[14:43:03] 0388_starpu_ws_potrf_n12000_b480_blk4
[14:43:06] 0389_starpu_lws_potrf_n14400_b480_blk4
[14:43:09] 0390_starpu_lws_potrf_n16800_b480_blk4
[14:43:15] 0391_starpu_ws_geqrf_n19200_b480_blk4
[14:44:01] 0392_starpu_ws_potrf_n2400_b480_blk4
[14:44:01] 0393_starpu_ws_geqrf_n16800_b480_blk4
[14:44:31] 0394_starpu_ws_potrf_n26400_b480_blk4
[14:44:53] 0395_starpu_lws_geqrf_n26400_b480_blk4
[14:46:49] 0396_starpu_lws_potrf_n4800_b480_blk4
[14:46:50] 0397_starpu_lws_potrf_n24000_b480_blk4
[14:47:06] 0398_starpu_lws_geqrf_n4800_b480_blk4
[14:47:08] 0399_starpu_lws_potrf_n2400_b480_blk4
[14:47:08] 0400_starpu_lws_potrf_n7200_b480_blk4
[14:47:08] 0401_starpu_ws_geqrf_n21600_b480_blk4
[14:48:13] 0402_starpu_ws_geqrf_n24000_b480_blk4
[14:49:40] 0403_starpu_lws_potrf_n28800_b480_blk4
[14:50:08] 0404_starpu_ws_potrf_n7200_b480_blk4
[14:50:09] 0405_starpu_ws_geqrf_n14400_b480_blk4
[14:50:28] 0406_starpu_lws_potrf_n12000_b480_blk4
[14:50:31] 0407_starpu_lws_geqrf_n24000_b480_blk4
[14:51:58] 0408_starpu_ws_potrf_n21600_b480_blk4
[14:52:10] 0409_starpu_ws_geqrf_n26400_b480_blk4
[14:54:06] 0410_starpu_lws_geqrf_n21600_b480_blk4
[14:55:10] 0411_starpu_ws_potrf_n4800_b480_blk4
[14:55:11] 0412_starpu_ws_geqrf_n9600_b480_blk4
[14:55:17] 0413_starpu_ws_potrf_n9600_b480_blk4
[14:55:18] 0414_starpu_lws_potrf_n21600_b480_blk4
[14:55:30] 0415_starpu_lws_potrf_n26400_b480_blk4
[14:55:52] 0416_starpu_ws_potrf_n16800_b480_blk4
[14:55:58] 0417_starpu_lws_potrf_n19200_b480_blk4
[14:56:07] 0418_starpu_ws_potrf_n24000_b480_blk4
[14:56:24] 0419_starpu_ws_geqrf_n4800_b480_blk4
[14:56:25] 0420_starpu_lws_geqrf_n28800_b480_blk4
[14:58:55] 0421_starpu_lws_geqrf_n16800_b480_blk4
[14:59:26] 0422_starpu_lws_potrf_n9600_b480_blk4
[14:59:27] 0423_starpu_ws_geqrf_n7200_b480_blk4
[14:59:30] 0424_starpu_lws_geqrf_n7200_b480_blk4
[14:59:33] 0425_starpu_lws_geqrf_n2400_b480_blk4
[14:59:34] 0426_starpu_ws_geqrf_n28800_b480_blk4
[15:02:04] 0427_starpu_lws_geqrf_n19200_b480_blk4
[15:02:49] 0428_starpu_lws_geqrf_n12000_b480_blk4
