algorithm,n,b,runtime,scheduler,iterations,Blocks
potrf,19200,640,parsec,lfq,30,.1
geqrf,19200,320,parsec,lfq,60,.1
potrf,19200,200,parsec,gd,96,.1
potrf,19200,320,parsec,lfq,60,.1
potrf,19200,320,parsec,gd,60,.1
geqrf,19200,960,parsec,lfq,20,.1
geqrf,19200,256,parsec,gd,75,.1
potrf,19200,480,parsec,lfq,40,.1
potrf,19200,960,parsec,gd,20,.1
potrf,19200,640,parsec,gd,30,.1
geqrf,19200,480,parsec,lfq,40,.1
potrf,19200,960,parsec,lfq,20,.1
geqrf,19200,320,parsec,gd,60,.1
geqrf,19200,200,parsec,gd,96,.1
potrf,19200,200,parsec,lfq,96,.1
geqrf,19200,200,parsec,lfq,96,.1
geqrf,19200,384,parsec,lfq,50,.1
geqrf,19200,256,parsec,lfq,75,.1
potrf,19200,384,parsec,lfq,50,.1
geqrf,19200,480,parsec,gd,40,.1
potrf,19200,480,parsec,gd,40,.1
geqrf,19200,640,parsec,lfq,30,.1
geqrf,19200,384,parsec,gd,50,.1
geqrf,19200,640,parsec,gd,30,.1
potrf,19200,256,parsec,lfq,75,.1
geqrf,19200,960,parsec,gd,20,.1
potrf,19200,384,parsec,gd,50,.1
potrf,19200,256,parsec,gd,75,.1
geqrf,19200,384,parsec,lfq,50,.2
geqrf,19200,640,parsec,lfq,30,.2
geqrf,19200,320,parsec,gd,60,.2
potrf,19200,640,parsec,gd,30,.2
geqrf,19200,256,parsec,gd,75,.2
potrf,19200,640,parsec,lfq,30,.2
potrf,19200,200,parsec,lfq,96,.2
potrf,19200,960,parsec,gd,20,.2
potrf,19200,384,parsec,gd,50,.2
potrf,19200,320,parsec,lfq,60,.2
potrf,19200,256,parsec,lfq,75,.2
geqrf,19200,480,parsec,lfq,40,.2
geqrf,19200,384,parsec,gd,50,.2
geqrf,19200,200,parsec,lfq,96,.2
geqrf,19200,320,parsec,lfq,60,.2
potrf,19200,200,parsec,gd,96,.2
potrf,19200,320,parsec,gd,60,.2
potrf,19200,480,parsec,gd,40,.2
geqrf,19200,256,parsec,lfq,75,.2
geqrf,19200,960,parsec,lfq,20,.2
geqrf,19200,640,parsec,gd,30,.2
geqrf,19200,200,parsec,gd,96,.2
potrf,19200,384,parsec,lfq,50,.2
geqrf,19200,480,parsec,gd,40,.2
potrf,19200,480,parsec,lfq,40,.2
geqrf,19200,960,parsec,gd,20,.2
potrf,19200,960,parsec,lfq,20,.2
potrf,19200,256,parsec,gd,75,.2
potrf,19200,384,parsec,lfq,50,.3
geqrf,19200,256,parsec,gd,75,.3
potrf,19200,960,parsec,gd,20,.3
potrf,19200,480,parsec,gd,40,.3
geqrf,19200,200,parsec,gd,96,.3
potrf,19200,384,parsec,gd,50,.3
potrf,19200,960,parsec,lfq,20,.3
potrf,19200,320,parsec,gd,60,.3
geqrf,19200,640,parsec,gd,30,.3
geqrf,19200,384,parsec,lfq,50,.3
geqrf,19200,320,parsec,lfq,60,.3
potrf,19200,640,parsec,lfq,30,.3
geqrf,19200,320,parsec,gd,60,.3
geqrf,19200,480,parsec,gd,40,.3
