runtime,scheduler,algorithm,n,b,threads,rep,time,gflops
starpu,lws,dgeqrf,19200,256,24,.1,2.386348e+01,3.954964e+02
starpu,lws,dpotrf,19200,200,24,.1,4.460905e+00,5.289241e+02
starpu,ws,dpotrf,19200,480,24,.1,3.798287e+00,6.211958e+02
starpu,lws,dgeqrf,19200,960,24,.1,2.719553e+01,3.470394e+02
starpu,ws,dgeqrf,19200,256,24,.1,2.400957e+01,3.930899e+02
starpu,ws,dpotrf,19200,384,24,.1,3.965542e+00,5.949957e+02
starpu,lws,dgeqrf,19200,480,24,.1,2.156120e+01,4.377271e+02
starpu,lws,dpotrf,19200,384,24,.1,3.876881e+00,6.086028e+02
starpu,lws,dpotrf,19200,480,24,.1,3.909820e+00,6.034754e+02
starpu,ws,dpotrf,19200,200,24,.1,4.394167e+00,5.369574e+02
starpu,ws,dpotrf,19200,640,24,.1,4.014442e+00,5.877481e+02
starpu,ws,dgeqrf,19200,320,24,.1,2.198868e+01,4.292173e+02
starpu,lws,dpotrf,19200,256,24,.1,4.060178e+00,5.811273e+02
starpu,lws,dgeqrf,19200,320,24,.1,2.202282e+01,4.285518e+02
starpu,lws,dgeqrf,19200,640,24,.1,2.618714e+01,3.604030e+02
starpu,ws,dpotrf,19200,960,24,.1,4.151503e+00,5.683436e+02
starpu,lws,dgeqrf,19200,384,24,.1,2.161038e+01,4.367309e+02
starpu,ws,dgeqrf,19200,384,24,.1,2.166072e+01,4.357160e+02
starpu,ws,dgeqrf,19200,960,24,.1,2.769446e+01,3.407873e+02
starpu,ws,dpotrf,19200,320,24,.1,4.044147e+00,5.834310e+02
starpu,lws,dgeqrf,19200,200,24,.1,2.558247e+01,3.689214e+02
starpu,lws,dpotrf,19200,960,24,.1,4.068254e+00,5.799738e+02
starpu,ws,dgeqrf,19200,200,24,.1,2.527951e+01,3.733428e+02
starpu,lws,dpotrf,19200,640,24,.1,3.975928e+00,5.934413e+02
starpu,ws,dgeqrf,19200,640,24,.1,2.659900e+01,3.548224e+02
starpu,ws,dpotrf,19200,256,24,.1,4.119201e+00,5.728004e+02
starpu,ws,dgeqrf,19200,480,24,.1,2.154243e+01,4.381084e+02
starpu,lws,dpotrf,19200,320,24,.1,4.041015e+00,5.838830e+02
starpu,lws,dpotrf,19200,960,24,.2,4.113742e+00,5.735606e+02
starpu,ws,dpotrf,19200,640,24,.2,3.987250e+00,5.917563e+02
starpu,ws,dpotrf,19200,480,24,.2,3.856120e+00,6.118795e+02
starpu,ws,dgeqrf,19200,320,24,.2,2.195306e+01,4.299137e+02
starpu,ws,dgeqrf,19200,384,24,.2,2.174338e+01,4.340594e+02
starpu,ws,dgeqrf,19200,960,24,.2,2.784018e+01,3.390035e+02
starpu,ws,dpotrf,19200,384,24,.2,3.945990e+00,5.979438e+02
starpu,ws,dpotrf,19200,256,24,.2,4.095166e+00,5.761622e+02
starpu,lws,dpotrf,19200,480,24,.2,3.850208e+00,6.128189e+02
starpu,ws,dpotrf,19200,320,24,.2,4.091959e+00,5.766139e+02
starpu,ws,dgeqrf,19200,640,24,.2,2.666847e+01,3.538981e+02
starpu,ws,dgeqrf,19200,200,24,.2,2.530299e+01,3.729962e+02
starpu,lws,dpotrf,19200,640,24,.2,3.908783e+00,6.036356e+02
starpu,lws,dgeqrf,19200,480,24,.2,2.151056e+01,4.387576e+02
starpu,lws,dpotrf,19200,384,24,.2,3.922289e+00,6.015569e+02
starpu,lws,dgeqrf,19200,200,24,.2,2.521596e+01,3.742836e+02
starpu,lws,dpotrf,19200,200,24,.2,4.448776e+00,5.303661e+02
starpu,ws,dpotrf,19200,200,24,.2,4.501625e+00,5.241397e+02
starpu,lws,dgeqrf,19200,640,24,.2,2.606906e+01,3.620354e+02
starpu,lws,dgeqrf,19200,384,24,.2,2.160695e+01,4.368003e+02
starpu,ws,dgeqrf,19200,480,24,.2,2.167057e+01,4.355178e+02
starpu,lws,dpotrf,19200,256,24,.2,4.028389e+00,5.857132e+02
