===============================================================
Date        : Wed May 13 10:49:38 AM -03 2026
SubmitHost  : cei1
SubmitDir   : /home/users/matregnago/intro_hpc
JobID       : 782086
Node(s)     : cei1
===============================================================
[10:49:54] 0001_starpu_lws_dgeqrf_n19200_b256_rep1
[10:50:19] 0003_starpu_lws_dpotrf_n19200_b200_rep1
[10:50:24] 0005_starpu_ws_dpotrf_n19200_b480_rep1
[10:50:29] 0007_starpu_lws_dgeqrf_n19200_b960_rep1
[10:50:56] 0008_starpu_ws_dgeqrf_n19200_b256_rep1
[10:51:22] 0010_starpu_ws_dpotrf_n19200_b384_rep1
[10:51:26] 0013_starpu_lws_dgeqrf_n19200_b480_rep1
[10:51:49] 0014_starpu_lws_dpotrf_n19200_b384_rep1
[10:51:53] 0015_starpu_lws_dpotrf_n19200_b480_rep1
[10:51:57] 0016_starpu_ws_dpotrf_n19200_b200_rep1
[10:52:02] 0019_starpu_ws_dpotrf_n19200_b640_rep1
[10:52:07] 0025_starpu_ws_dgeqrf_n19200_b320_rep1
[10:52:30] 0026_starpu_lws_dpotrf_n19200_b256_rep1
[10:52:35] 0027_starpu_lws_dgeqrf_n19200_b320_rep1
[10:52:58] 0034_starpu_lws_dgeqrf_n19200_b640_rep1
[10:53:25] 0035_starpu_ws_dpotrf_n19200_b960_rep1
[10:53:29] 0036_starpu_lws_dgeqrf_n19200_b384_rep1
[10:53:52] 0038_starpu_ws_dgeqrf_n19200_b384_rep1
[10:54:14] 0040_starpu_ws_dgeqrf_n19200_b960_rep1
[10:54:43] 0041_starpu_ws_dpotrf_n19200_b320_rep1
[10:54:47] 0044_starpu_lws_dgeqrf_n19200_b200_rep1
[10:55:14] 0045_starpu_lws_dpotrf_n19200_b960_rep1
[10:55:19] 0046_starpu_ws_dgeqrf_n19200_b200_rep1
[10:55:46] 0047_starpu_lws_dpotrf_n19200_b640_rep1
[10:55:50] 0050_starpu_ws_dgeqrf_n19200_b640_rep1
[10:56:17] 0051_starpu_ws_dpotrf_n19200_b256_rep1
[10:56:22] 0053_starpu_ws_dgeqrf_n19200_b480_rep1
[10:56:45] 0056_starpu_lws_dpotrf_n19200_b320_rep1
[10:56:49] 0058_starpu_lws_dpotrf_n19200_b960_rep2
[10:56:54] 0060_starpu_ws_dpotrf_n19200_b640_rep2
[10:56:58] 0063_starpu_ws_dpotrf_n19200_b480_rep2
[10:57:03] 0065_starpu_ws_dgeqrf_n19200_b320_rep2
[10:57:26] 0069_starpu_ws_dgeqrf_n19200_b384_rep2
[10:57:48] 0071_starpu_ws_dgeqrf_n19200_b960_rep2
[10:58:17] 0073_starpu_ws_dpotrf_n19200_b384_rep2
[10:58:21] 0076_starpu_ws_dpotrf_n19200_b256_rep2
[10:58:26] 0077_starpu_lws_dpotrf_n19200_b480_rep2
[10:58:30] 0079_starpu_ws_dpotrf_n19200_b320_rep2
[10:58:35] 0080_starpu_ws_dgeqrf_n19200_b640_rep2
[10:59:02] 0081_starpu_ws_dgeqrf_n19200_b200_rep2
[10:59:29] 0082_starpu_lws_dpotrf_n19200_b640_rep2
[10:59:33] 0084_starpu_lws_dgeqrf_n19200_b480_rep2
[10:59:56] 0085_starpu_lws_dpotrf_n19200_b384_rep2
[11:00:00] 0087_starpu_lws_dgeqrf_n19200_b200_rep2
[11:00:27] 0089_starpu_lws_dpotrf_n19200_b200_rep2
[11:00:32] 0091_starpu_ws_dpotrf_n19200_b200_rep2
[11:00:38] 0094_starpu_lws_dgeqrf_n19200_b640_rep2
[11:01:04] 0096_starpu_lws_dgeqrf_n19200_b384_rep2
[11:01:27] 0097_starpu_ws_dgeqrf_n19200_b480_rep2
[11:01:50] 0098_starpu_lws_dpotrf_n19200_b256_rep2
[11:01:54] 0103_starpu_lws_dgeqrf_n19200_b320_rep2
[11:02:17] 0104_starpu_lws_dgeqrf_n19200_b960_rep2
[11:02:47] 0105_starpu_lws_dgeqrf_n19200_b256_rep2
[11:03:12] 0107_starpu_ws_dpotrf_n19200_b960_rep2
[11:03:16] 0108_starpu_lws_dpotrf_n19200_b320_rep2
[11:03:21] 0111_starpu_ws_dgeqrf_n19200_b256_rep2
[11:03:46] 0113_starpu_ws_dgeqrf_n19200_b384_rep3
[11:04:09] 0115_starpu_lws_dpotrf_n19200_b384_rep3
[11:04:13] 0123_starpu_ws_dpotrf_n19200_b960_rep3
[11:04:18] 0125_starpu_ws_dgeqrf_n19200_b320_rep3
[11:04:41] 0126_starpu_ws_dgeqrf_n19200_b480_rep3
[11:05:04] 0127_starpu_ws_dgeqrf_n19200_b200_rep3
[11:05:31] 0128_starpu_ws_dpotrf_n19200_b320_rep3
[11:05:35] 0130_starpu_lws_dgeqrf_n19200_b200_rep3
[11:06:02] 0131_starpu_lws_dpotrf_n19200_b200_rep3
[11:06:08] 0132_starpu_lws_dpotrf_n19200_b960_rep3
[11:06:12] 0133_starpu_ws_dgeqrf_n19200_b640_rep3
[11:06:39] 0137_starpu_ws_dpotrf_n19200_b256_rep3
[11:06:44] 0139_starpu_lws_dpotrf_n19200_b640_rep3
[11:06:48] 0140_starpu_lws_dpotrf_n19200_b256_rep3
[11:06:53] 0142_starpu_lws_dgeqrf_n19200_b960_rep3
[11:07:21] 0147_starpu_lws_dgeqrf_n19200_b384_rep3
[11:07:44] 0148_starpu_lws_dpotrf_n19200_b480_rep3
[11:07:48] 0149_starpu_ws_dgeqrf_n19200_b256_rep3
[11:08:13] 0150_starpu_lws_dgeqrf_n19200_b480_rep3
[11:08:36] 0151_starpu_ws_dpotrf_n19200_b200_rep3
[11:08:41] 0152_starpu_lws_dpotrf_n19200_b320_rep3
[11:08:45] 0153_starpu_ws_dpotrf_n19200_b384_rep3
[11:08:50] 0157_starpu_lws_dgeqrf_n19200_b640_rep3
[11:09:17] 0158_starpu_lws_dgeqrf_n19200_b320_rep3
[11:09:40] 0159_starpu_lws_dgeqrf_n19200_b256_rep3
[11:10:05] 0162_starpu_ws_dgeqrf_n19200_b960_rep3
[11:10:33] 0167_starpu_ws_dpotrf_n19200_b640_rep3
[11:10:37] 0168_starpu_ws_dpotrf_n19200_b480_rep3
[11:10:41] 0169_starpu_ws_dpotrf_n19200_b960_rep4
[11:10:46] 0173_starpu_lws_dgeqrf_n19200_b384_rep4
[11:11:09] 0178_starpu_ws_dpotrf_n19200_b384_rep4
[11:11:13] 0179_starpu_lws_dpotrf_n19200_b200_rep4
[11:11:18] 0180_starpu_ws_dgeqrf_n19200_b320_rep4
[11:11:41] 0183_starpu_ws_dgeqrf_n19200_b480_rep4
[11:12:04] 0184_starpu_ws_dgeqrf_n19200_b384_rep4
[11:12:27] 0186_starpu_ws_dgeqrf_n19200_b200_rep4
[11:12:54] 0189_starpu_lws_dgeqrf_n19200_b200_rep4
[11:13:21] 0191_starpu_lws_dgeqrf_n19200_b960_rep4
[11:13:50] 0192_starpu_ws_dgeqrf_n19200_b640_rep4
[11:14:17] 0195_starpu_lws_dpotrf_n19200_b320_rep4
[11:14:21] 0198_starpu_lws_dpotrf_n19200_b384_rep4
[11:14:26] 0200_starpu_lws_dgeqrf_n19200_b256_rep4
[11:14:51] 0201_starpu_ws_dpotrf_n19200_b256_rep4
[11:14:56] 0202_starpu_lws_dgeqrf_n19200_b480_rep4
[11:15:18] 0203_starpu_ws_dpotrf_n19200_b640_rep4
[11:15:23] 0204_starpu_lws_dpotrf_n19200_b480_rep4
[11:15:27] 0206_starpu_ws_dpotrf_n19200_b200_rep4
[11:15:32] 0207_starpu_lws_dgeqrf_n19200_b320_rep4
[11:15:55] 0208_starpu_ws_dgeqrf_n19200_b256_rep4
[11:16:20] 0210_starpu_lws_dpotrf_n19200_b256_rep4
[11:16:25] 0211_starpu_lws_dpotrf_n19200_b960_rep4
[11:16:30] 0212_starpu_ws_dpotrf_n19200_b320_rep4
[11:16:34] 0214_starpu_lws_dgeqrf_n19200_b640_rep4
