===============================================================
Date        : Wed May 13 10:49:42 AM -03 2026
SubmitHost  : cei2
SubmitDir   : /home/users/matregnago/intro_hpc
JobID       : 782087
Node(s)     : cei2
===============================================================
[10:49:54] 0002_starpu_ws_dpotrf_n19200_b480_rep1
[10:49:58] 0003_starpu_lws_dpotrf_n2400_b480_rep1
[10:49:58] 0004_starpu_ws_dgeqrf_n12000_b480_rep1
[10:50:04] 0006_starpu_ws_dpotrf_n24000_b480_rep1
[10:50:12] 0007_starpu_lws_dgeqrf_n16800_b480_rep1
[10:50:27] 0012_starpu_lws_dpotrf_n26400_b480_rep1
[10:50:38] 0015_starpu_lws_dpotrf_n9600_b480_rep1
[10:50:39] 0018_starpu_ws_dpotrf_n16800_b480_rep1
[10:50:42] 0021_starpu_ws_dgeqrf_n24000_b480_rep1
[10:51:25] 0022_starpu_ws_dpotrf_n12000_b480_rep1
[10:51:26] 0023_starpu_ws_dpotrf_n14400_b480_rep1
[10:51:28] 0025_starpu_ws_dgeqrf_n21600_b480_rep1
[10:52:01] 0026_starpu_ws_dgeqrf_n16800_b480_rep1
[10:52:16] 0027_starpu_lws_dgeqrf_n24000_b480_rep1
[10:53:00] 0028_starpu_ws_dgeqrf_n4800_b480_rep1
[10:53:01] 0031_starpu_ws_dgeqrf_n19200_b480_rep1
[10:53:24] 0033_starpu_ws_dpotrf_n2400_b480_rep1
[10:53:24] 0036_starpu_lws_dgeqrf_n7200_b480_rep1
[10:53:26] 0042_starpu_lws_dgeqrf_n28800_b480_rep1
[10:54:41] 0043_starpu_ws_dgeqrf_n9600_b480_rep1
[10:54:44] 0045_starpu_lws_dgeqrf_n2400_b480_rep1
[10:54:44] 0046_starpu_ws_dpotrf_n26400_b480_rep1
[10:54:55] 0047_starpu_lws_dgeqrf_n21600_b480_rep1
[10:55:27] 0048_starpu_lws_dgeqrf_n26400_b480_rep1
[10:56:26] 0054_starpu_lws_dpotrf_n28800_b480_rep1
[10:56:40] 0058_starpu_lws_dpotrf_n14400_b480_rep1
[10:56:42] 0059_starpu_lws_dpotrf_n21600_b480_rep1
[10:56:48] 0060_starpu_ws_dgeqrf_n14400_b480_rep1
[10:56:58] 0061_starpu_lws_dpotrf_n16800_b480_rep1
[10:57:01] 0065_starpu_ws_dgeqrf_n28800_b480_rep1
[10:58:16] 0068_starpu_ws_dpotrf_n7200_b480_rep1
[10:58:17] 0071_starpu_lws_dgeqrf_n14400_b480_rep1
[10:58:27] 0072_starpu_lws_dgeqrf_n19200_b480_rep1
[10:58:49] 0073_starpu_ws_dgeqrf_n26400_b480_rep1
[10:59:48] 0077_starpu_ws_dpotrf_n28800_b480_rep1
[11:00:02] 0078_starpu_lws_dpotrf_n12000_b480_rep1
[11:00:03] 0079_starpu_ws_dgeqrf_n7200_b480_rep1
[11:00:05] 0081_starpu_ws_dpotrf_n21600_b480_rep1
[11:00:11] 0083_starpu_lws_dgeqrf_n12000_b480_rep1
[11:00:17] 0085_starpu_ws_dgeqrf_n2400_b480_rep1
[11:00:17] 0086_starpu_lws_dpotrf_n4800_b480_rep1
[11:00:17] 0089_starpu_ws_dpotrf_n9600_b480_rep1
[11:00:18] 0090_starpu_lws_dgeqrf_n9600_b480_rep1
[11:00:21] 0091_starpu_lws_dpotrf_n19200_b480_rep1
[11:00:26] 0092_starpu_ws_dpotrf_n4800_b480_rep1
[11:00:26] 0093_starpu_lws_dpotrf_n24000_b480_rep1
[11:00:34] 0094_starpu_lws_dpotrf_n7200_b480_rep1
[11:00:35] 0096_starpu_lws_dgeqrf_n4800_b480_rep1
[11:00:35] 0098_starpu_ws_dpotrf_n19200_b480_rep2
[11:00:40] 0099_starpu_lws_dgeqrf_n28800_b480_rep2
[11:01:55] 0103_starpu_ws_dgeqrf_n19200_b480_rep2
[11:02:18] 0105_starpu_ws_dpotrf_n14400_b480_rep2
[11:02:20] 0106_starpu_ws_dpotrf_n24000_b480_rep2
[11:02:28] 0107_starpu_lws_dpotrf_n2400_b480_rep2
[11:02:28] 0108_starpu_ws_dpotrf_n7200_b480_rep2
[11:02:29] 0110_starpu_lws_dgeqrf_n26400_b480_rep2
[11:03:27] 0112_starpu_ws_dgeqrf_n4800_b480_rep2
[11:03:28] 0113_starpu_ws_dpotrf_n16800_b480_rep2
[11:03:31] 0115_starpu_ws_dgeqrf_n26400_b480_rep2
[11:04:29] 0119_starpu_ws_dgeqrf_n24000_b480_rep2
[11:05:13] 0125_starpu_lws_dpotrf_n9600_b480_rep2
[11:05:14] 0126_starpu_lws_dgeqrf_n24000_b480_rep2
[11:05:58] 0130_starpu_lws_dgeqrf_n19200_b480_rep2
[11:06:21] 0131_starpu_lws_dpotrf_n24000_b480_rep2
[11:06:29] 0132_starpu_ws_dgeqrf_n14400_b480_rep2
[11:06:39] 0133_starpu_lws_dgeqrf_n2400_b480_rep2
[11:06:39] 0134_starpu_ws_dgeqrf_n28800_b480_rep2
[11:07:55] 0138_starpu_ws_dpotrf_n21600_b480_rep2
[11:08:01] 0139_starpu_lws_dpotrf_n16800_b480_rep2
[11:08:04] 0140_starpu_ws_dgeqrf_n2400_b480_rep2
[11:08:04] 0141_starpu_ws_dgeqrf_n12000_b480_rep2
[11:08:10] 0144_starpu_lws_dpotrf_n21600_b480_rep2
[11:08:16] 0146_starpu_lws_dpotrf_n14400_b480_rep2
[11:08:18] 0147_starpu_ws_dpotrf_n9600_b480_rep2
[11:08:19] 0149_starpu_ws_dpotrf_n26400_b480_rep2
[11:08:30] 0151_starpu_ws_dpotrf_n28800_b480_rep2
[11:08:44] 0154_starpu_lws_dpotrf_n12000_b480_rep2
[11:08:45] 0157_starpu_lws_dgeqrf_n12000_b480_rep2
[11:08:51] 0158_starpu_lws_dpotrf_n19200_b480_rep2
[11:08:56] 0159_starpu_ws_dgeqrf_n9600_b480_rep2
[11:08:59] 0161_starpu_lws_dpotrf_n7200_b480_rep2
[11:08:59] 0163_starpu_lws_dgeqrf_n14400_b480_rep2
[11:09:09] 0164_starpu_lws_dgeqrf_n16800_b480_rep2
[11:09:25] 0165_starpu_ws_dgeqrf_n16800_b480_rep2
[11:09:40] 0166_starpu_lws_dgeqrf_n7200_b480_rep2
[11:09:42] 0172_starpu_lws_dpotrf_n4800_b480_rep2
[11:09:42] 0174_starpu_ws_dpotrf_n4800_b480_rep2
[11:09:42] 0178_starpu_ws_dgeqrf_n21600_b480_rep2
[11:10:14] 0179_starpu_ws_dgeqrf_n7200_b480_rep2
[11:10:16] 0180_starpu_lws_dgeqrf_n21600_b480_rep2
[11:10:48] 0181_starpu_lws_dgeqrf_n9600_b480_rep2
[11:10:52] 0182_starpu_lws_dgeqrf_n4800_b480_rep2
[11:10:52] 0184_starpu_ws_dpotrf_n2400_b480_rep2
[11:10:52] 0186_starpu_ws_dpotrf_n12000_b480_rep2
[11:10:54] 0190_starpu_lws_dpotrf_n28800_b480_rep2
