algorithm,n,b,runtime,scheduler,Blocks
dgeqrf,24000,480,parsec,lfq,.1
dpotrf,19200,480,starpu,ws,.1
dpotrf,2400,480,starpu,lws,.1
dgeqrf,12000,480,starpu,ws,.1
dpotrf,19200,480,parsec,gd,.1
dpotrf,24000,480,starpu,ws,.1
dgeqrf,16800,480,starpu,lws,.1
dgeqrf,12000,480,parsec,gd,.1
dpotrf,14400,480,parsec,lfq,.1
dpotrf,4800,480,parsec,lfq,.1
dpotrf,16800,480,parsec,gd,.1
dpotrf,26400,480,starpu,lws,.1
dgeqrf,7200,480,parsec,lfq,.1
dgeqrf,2400,480,parsec,gd,.1
dpotrf,9600,480,starpu,lws,.1
dpotrf,2400,480,parsec,gd,.1
dpotrf,9600,480,parsec,gd,.1
dpotrf,16800,480,starpu,ws,.1
dgeqrf,9600,480,parsec,gd,.1
dpotrf,26400,480,parsec,gd,.1
dgeqrf,24000,480,starpu,ws,.1
dpotrf,12000,480,starpu,ws,.1
dpotrf,14400,480,starpu,ws,.1
dgeqrf,26400,480,parsec,lfq,.1
dgeqrf,21600,480,starpu,ws,.1
dgeqrf,16800,480,starpu,ws,.1
dgeqrf,24000,480,starpu,lws,.1
dgeqrf,4800,480,starpu,ws,.1
dpotrf,12000,480,parsec,gd,.1
dgeqrf,4800,480,parsec,gd,.1
dgeqrf,19200,480,starpu,ws,.1
dpotrf,24000,480,parsec,lfq,.1
dpotrf,2400,480,starpu,ws,.1
dpotrf,9600,480,parsec,lfq,.1
dgeqrf,9600,480,parsec,lfq,.1
dgeqrf,7200,480,starpu,lws,.1
dgeqrf,12000,480,parsec,lfq,.1
dpotrf,28800,480,parsec,gd,.1
dgeqrf,24000,480,parsec,gd,.1
dgeqrf,28800,480,parsec,lfq,.1
dpotrf,16800,480,parsec,lfq,.1
dgeqrf,28800,480,starpu,lws,.1
dgeqrf,9600,480,starpu,ws,.1
dgeqrf,21600,480,parsec,gd,.1
dgeqrf,2400,480,starpu,lws,.1
dpotrf,26400,480,starpu,ws,.1
dgeqrf,21600,480,starpu,lws,.1
dgeqrf,26400,480,starpu,lws,.1
dpotrf,7200,480,parsec,lfq,.1
dpotrf,28800,480,parsec,lfq,.1
dgeqrf,26400,480,parsec,gd,.1
dgeqrf,21600,480,parsec,lfq,.1
dgeqrf,16800,480,parsec,lfq,.1
dpotrf,28800,480,starpu,lws,.1
dpotrf,21600,480,parsec,lfq,.1
dgeqrf,14400,480,parsec,lfq,.1
dgeqrf,19200,480,parsec,gd,.1
