runtime,scheduler,algorithm,n,b,threads,rep,time,gflops
starpu,lws,dpotrf,19200,480,24,.1,3.916792e+00,6.024013e+02
starpu,ws,dgeqrf,19200,480,24,.1,2.174481e+01,4.340309e+02
starpu,lws,dgeqrf,19200,480,24,.1,2.174476e+01,4.340319e+02
starpu,ws,dpotrf,19200,480,24,.1,3.903628e+00,6.044326e+02
starpu,lws,dgeqrf,19200,480,24,.2,2.206061e+01,4.278177e+02
starpu,ws,dpotrf,19200,480,24,.2,3.998533e+00,5.900865e+02
starpu,lws,dpotrf,19200,480,24,.2,3.957693e+00,5.961757e+02
starpu,ws,dgeqrf,19200,480,24,.2,2.245962e+01,4.202173e+02
parsec,gd,dgeqrf,19200,480,24,.1,2.148983e+01,4.391808e+02
parsec,lfq,dgeqrf,19200,480,24,.1,2.225595e+01,4.240628e+02
parsec,gd,dpotrf,19200,480,24,.1,3.898867e+00,6.051708e+02
parsec,lfq,dpotrf,19200,480,24,.1,4.109607e+00,5.741377e+02
parsec,gd,dpotrf,19200,480,24,.2,4.022402e+00,5.865849e+02
parsec,lfq,dpotrf,19200,480,24,.2,4.126817e+00,5.717434e+02
parsec,gd,dgeqrf,19200,480,24,.2,2.211847e+01,4.266987e+02
parsec,lfq,dgeqrf,19200,480,24,.2,2.238636e+01,4.215925e+02
