precision,algorithm,n,b,runtime,scheduler,rep
FP64,getrf_nopiv,40000,1600,starpu,dmdas,1
FP32,potrf,40000,625,parsec,gd,1
FP32,getrf_nopiv,40000,400,starpu,dmdas,1
FP64,potrf,40000,800,starpu,dmda,1
FP32,getrf_nopiv,40000,625,starpu,dmdas,1
FP32,potrf,40000,500,parsec,lfq,1
FP32,potrf,40000,1250,starpu,dmda,1
FP64,potrf,40000,1600,parsec,lfq,1
FP64,potrf,40000,2500,starpu,dmdas,1
FP32,getrf_nopiv,40000,500,starpu,dmda,1
FP32,potrf,40000,2500,starpu,dmdas,1
FP32,getrf_nopiv,40000,4000,starpu,dmdas,1
FP32,potrf,40000,4000,starpu,dmda,1
FP32,potrf,40000,1600,parsec,lfq,1
FP64,potrf,40000,2000,parsec,lfq,1
FP64,potrf,40000,2500,starpu,dmda,1
FP32,potrf,40000,2500,parsec,gd,1
FP64,potrf,40000,500,parsec,gd,1
FP32,potrf,40000,625,parsec,lfq,1
FP32,potrf,40000,2500,starpu,dmda,1
FP64,getrf_nopiv,40000,400,parsec,lfq,1
FP64,potrf,40000,2000,starpu,dmdas,1
FP64,getrf_nopiv,40000,2000,parsec,gd,1
FP64,potrf,40000,400,starpu,dmdas,1
FP32,getrf_nopiv,40000,2000,parsec,lfq,1
FP64,getrf_nopiv,40000,1000,starpu,dmda,1
FP64,getrf_nopiv,40000,400,starpu,dmdas,1
FP32,potrf,40000,400,parsec,gd,1
FP32,getrf_nopiv,40000,500,parsec,lfq,1
FP32,getrf_nopiv,40000,1000,parsec,gd,1
FP32,potrf,40000,800,parsec,gd,1
FP64,getrf_nopiv,40000,4000,starpu,dmda,1
FP64,potrf,40000,800,parsec,gd,1
FP32,potrf,40000,1600,starpu,dmda,1
FP32,getrf_nopiv,40000,4000,parsec,lfq,1
FP64,getrf_nopiv,40000,4000,parsec,lfq,1
FP32,getrf_nopiv,40000,625,parsec,gd,1
FP64,potrf,40000,400,parsec,gd,1
FP32,getrf_nopiv,40000,4000,starpu,dmda,1
FP64,getrf_nopiv,40000,2500,parsec,gd,1
FP32,potrf,40000,1000,parsec,gd,1
FP64,potrf,40000,500,starpu,dmda,1
FP64,getrf_nopiv,40000,1250,starpu,dmda,1
FP64,getrf_nopiv,40000,2000,starpu,dmda,1
FP32,potrf,40000,4000,parsec,gd,1
FP64,potrf,40000,400,starpu,dmda,1
FP32,potrf,40000,500,starpu,dmdas,1
FP64,potrf,40000,1000,starpu,dmda,1
FP64,potrf,40000,1250,starpu,dmda,1
FP64,potrf,40000,4000,starpu,dmdas,1
FP64,potrf,40000,1250,parsec,lfq,1
FP32,potrf,40000,1600,starpu,dmdas,1
FP64,getrf_nopiv,40000,1250,parsec,lfq,1
FP64,getrf_nopiv,40000,400,parsec,gd,1
FP64,getrf_nopiv,40000,625,parsec,gd,1
FP32,getrf_nopiv,40000,1600,parsec,lfq,1
FP64,getrf_nopiv,40000,1600,parsec,lfq,1
FP32,getrf_nopiv,40000,1250,parsec,lfq,1
FP32,getrf_nopiv,40000,2500,starpu,dmdas,1
FP32,potrf,40000,400,parsec,lfq,1
FP64,getrf_nopiv,40000,1000,parsec,lfq,1
FP32,potrf,40000,800,starpu,dmda,1
FP32,getrf_nopiv,40000,4000,parsec,gd,1
FP64,potrf,40000,1250,parsec,gd,1
FP64,getrf_nopiv,40000,500,starpu,dmdas,1
FP32,potrf,40000,1000,parsec,lfq,1
