precision,algorithm,n,b,runtime,scheduler,rep
FP32,getrf_nopiv,80000,5000,parsec,lfq,3
FP64,getrf_nopiv,40000,4000,starpu,dmda,4
FP64,potrf,40000,2000,parsec,gd,4
FP64,potrf,40000,320,starpu,dmda,1
FP64,potrf,40000,250,parsec,gd,1
FP32,potrf,80000,1000,parsec,lfq,4
FP64,potrf,40000,625,starpu,dmdas,1
FP64,getrf_nopiv,40000,625,starpu,dmdas,1
FP64,getrf_nopiv,40000,500,starpu,dmdas,4
FP64,getrf_nopiv,40000,4000,parsec,lfq,2
FP32,potrf,80000,3200,parsec,lfq,1
FP32,getrf_nopiv,80000,2000,parsec,lfq,3
FP64,potrf,40000,250,starpu,dmda,4
FP64,potrf,40000,625,parsec,gd,2
FP64,potrf,40000,625,starpu,dmda,2
FP64,getrf_nopiv,40000,2000,parsec,gd,5
FP64,getrf_nopiv,40000,400,starpu,dmda,5
FP64,potrf,40000,250,starpu,dmda,3
FP32,potrf,80000,1000,starpu,dmda,3
FP64,getrf_nopiv,40000,1000,parsec,lfq,3
FP64,potrf,40000,250,parsec,gd,5
FP64,getrf_nopiv,40000,1000,parsec,lfq,4
FP64,getrf_nopiv,40000,625,parsec,gd,5
FP64,potrf,40000,4000,parsec,lfq,2
FP32,potrf,80000,3200,starpu,dmdas,3
FP32,getrf_nopiv,80000,8000,parsec,lfq,1
FP64,potrf,40000,2000,starpu,dmdas,5
FP64,getrf_nopiv,40000,500,starpu,dmda,2
FP64,potrf,40000,2000,parsec,lfq,1
FP32,potrf,80000,3200,parsec,gd,5
FP64,potrf,40000,250,parsec,gd,2
FP32,potrf,80000,4000,parsec,lfq,1
FP64,potrf,40000,2000,parsec,gd,3
FP64,potrf,40000,250,starpu,dmdas,3
FP64,potrf,40000,4000,parsec,gd,1
FP64,getrf_nopiv,40000,625,parsec,gd,4
FP32,getrf_nopiv,80000,2000,parsec,gd,1
FP64,getrf_nopiv,40000,320,parsec,lfq,3
FP32,getrf_nopiv,80000,2000,parsec,lfq,1
FP32,potrf,80000,2000,parsec,lfq,5
FP64,potrf,40000,500,parsec,gd,2
FP64,getrf_nopiv,40000,320,starpu,dmdas,4
FP32,potrf,80000,5000,parsec,gd,3
FP64,getrf_nopiv,40000,4000,starpu,dmdas,5
FP64,getrf_nopiv,40000,625,starpu,dmda,4
FP64,getrf_nopiv,40000,400,starpu,dmda,4
FP64,getrf_nopiv,40000,800,starpu,dmdas,4
FP32,potrf,80000,4000,starpu,dmda,4
FP64,getrf_nopiv,40000,625,parsec,lfq,2
FP32,potrf,80000,8000,parsec,lfq,3
FP32,potrf,80000,2000,parsec,lfq,2
FP32,potrf,80000,2000,starpu,dmda,1
FP32,getrf_nopiv,80000,5000,starpu,dmda,3
FP64,getrf_nopiv,40000,400,parsec,lfq,1
FP64,potrf,40000,800,starpu,dmda,1
FP64,potrf,40000,320,parsec,lfq,5
FP64,getrf_nopiv,40000,1000,parsec,lfq,1
FP32,potrf,80000,4000,starpu,dmdas,4
FP64,potrf,40000,250,starpu,dmdas,2
FP64,getrf_nopiv,40000,1000,starpu,dmda,4
