precision,algorithm,n,b,runtime,scheduler,rep
FP32,getrf_nopiv,80000,2500,parsec,gd,1
FP32,getrf_nopiv,80000,2500,parsec,lfq,1
FP32,getrf_nopiv,80000,2500,starpu,dmda,1
FP32,getrf_nopiv,80000,2500,starpu,dmdas,1
FP32,potrf,80000,4000,parsec,gd,1
FP32,potrf,80000,4000,parsec,lfq,1
FP32,potrf,80000,4000,starpu,dmda,1
FP32,potrf,80000,4000,starpu,dmdas,1
FP64,getrf_nopiv,40000,1000,parsec,gd,1
FP64,getrf_nopiv,40000,1000,parsec,lfq,1
FP64,getrf_nopiv,40000,1000,starpu,dmda,1
FP64,getrf_nopiv,40000,1000,starpu,dmdas,1
FP64,potrf,40000,1000,parsec,gd,1
FP64,potrf,40000,1000,parsec,lfq,1
FP64,potrf,40000,1000,starpu,dmda,1
FP64,potrf,40000,1000,starpu,dmdas,1
