"class","tasks","workers","busy_s","active_s","gflop","algo","runtime","cfg","makespan_s","node","gpu","contrib_gfps"
"CPU",52520,19,413.718665439,22.777382788,12403.0833333333,"dpotrf","starpu","starpu:dmda",22.875481145,"poti","poti (RTX 4070)",542.199888811709
"GPU",36040,4,88.665644879,22.331741904,8930.25,"dpotrf","starpu","starpu:dmda",22.875481145,"poti","poti (RTX 4070)",390.385231392255
"CPU",52750,19,419.194691518,22.356988371,12390.6666666667,"dpotrf","starpu","starpu:dmdas",22.410575312,"poti","poti (RTX 4070)",552.893734059203
"GPU",35810,4,88.445044259,22.409744901,8942.66666666667,"dpotrf","starpu","starpu:dmdas",22.410575312,"poti","poti (RTX 4070)",399.037799885405
"CPU",55145,18,361.005567338,20.871592957,13334.5416666667,"dpotrf","parsec","parsec:gd",21.961078993,"poti","poti (RTX 4070)",607.189731930612
"GPU",33415,4,185.56536989,21.930890007,7998.79166666667,"dpotrf","parsec","parsec:gd",21.961078993,"poti","poti (RTX 4070)",364.225804625367
"CPU",50400,18,354.304042161,20.776725146,12202.875,"dpotrf","parsec","parsec:lfq",22.863071271,"poti","poti (RTX 4070)",533.737346805124
"GPU",38160,4,294.285586814,22.827140503,9130.45833333333,"dpotrf","parsec","parsec:lfq",22.863071271,"poti","poti (RTX 4070)",399.353972399789
"CPU",102194,19,831.178257785,44.973067389,24901.0416666667,"dgetrf_nopiv","starpu","starpu:dmda",45.133686953,"poti","poti (RTX 4070)",551.717427663231
"GPU",71686,4,178.48624681,44.939156004,17765.625,"dgetrf_nopiv","starpu","starpu:dmda",45.133686953,"poti","poti (RTX 4070)",393.622285245614
"CPU",102865,19,838.233736669,45.359289792,24922.1666666667,"dgetrf_nopiv","starpu","starpu:dmdas",45.416295088,"poti","poti (RTX 4070)",548.749443748697
"GPU",71015,4,177.690647265,45.406689729,17744.5,"dgetrf_nopiv","starpu","starpu:dmdas",45.416295088,"poti","poti (RTX 4070)",390.707783750694
"CPU",110067,19,714.001057848,40.466788169,27003.9166666667,"dgetrf_nopiv","parsec","parsec:gd",41.451189692,"poti","poti (RTX 4070)",651.463006666812
"GPU",63813,4,347.610831847,41.35562103,15662.75,"dgetrf_nopiv","parsec","parsec:gd",41.451189692,"poti","poti (RTX 4070)",377.860083543582
"CPU",99753,19,702.589191065,40.482859762,24496.1666666667,"dgetrf_nopiv","parsec","parsec:lfq",44.484039667,"poti","poti (RTX 4070)",550.673159408202
"GPU",74127,4,606.811512213,44.433772234,18170.5,"dgetrf_nopiv","parsec","parsec:lfq",44.484039667,"poti","poti (RTX 4070)",408.472345048275
"CPU",4696,23,254.81506361,11.668099429,8026.33333333333,"dpotrf","starpu","starpu:dmda",11.991118247,"tupi","tupi (RTX 4090)",669.356532727163
"GPU",6784,4,47.628206887,11.987137658,13307,"dpotrf","starpu","starpu:dmda",11.991118247,"tupi","tupi (RTX 4090)",1109.73803492674
"CPU",4797,23,259.885146929,11.744556583,8043,"dpotrf","starpu","starpu:dmdas",11.932448264,"tupi","tupi (RTX 4090)",674.044405812812
"GPU",6683,4,47.265650816,11.929269627,13290.3333333333,"dpotrf","starpu","starpu:dmdas",11.932448264,"tupi","tupi (RTX 4090)",1113.79769174697
"CPU",3189,23,187.398770031,12.308735349,6034,"dpotrf","parsec","parsec:gd",16.247201533,"tupi","tupi (RTX 4090)",371.387034729903
"GPU",8291,4,162.347303874,16.221331156,15299.3333333333,"dpotrf","parsec","parsec:gd",16.247201533,"tupi","tupi (RTX 4090)",941.659602255722
"CPU",3741,22,244.18512529,12.166548853,7266,"dpotrf","parsec","parsec:lfq",15.305382935,"tupi","tupi (RTX 4090)",474.734936777327
"GPU",7739,4,137.630187907,15.293422977,14067.3333333333,"dpotrf","parsec","parsec:lfq",15.305382935,"tupi","tupi (RTX 4090)",919.110184506686
"CPU",8668,23,526.853401781,23.682960369,16136.6666666667,"dgetrf_nopiv","starpu","starpu:dmda",23.914209121,"tupi","tupi (RTX 4090)",674.773168747464
"GPU",13472,4,94.861448872,23.869985489,26530,"dgetrf_nopiv","starpu","starpu:dmda",23.914209121,"tupi","tupi (RTX 4090)",1109.38228673023
"CPU",8954,23,530.038275983,23.514760771,16365.6666666667,"dgetrf_nopiv","starpu","starpu:dmdas",23.613384185,"tupi","tupi (RTX 4090)",693.067395103099
"GPU",13186,4,93.411140282,23.56865525,26301,"dgetrf_nopiv","starpu","starpu:dmdas",23.613384185,"tupi","tupi (RTX 4090)",1113.81747715379
"CPU",7683,23,481.312038841,25.650708928,14871.6666666667,"dgetrf_nopiv","parsec","parsec:gd",27.897206779,"tupi","tupi (RTX 4090)",533.088017896527
"GPU",14457,4,265.391715787,27.831511354,27795,"dgetrf_nopiv","parsec","parsec:gd",27.897206779,"tupi","tupi (RTX 4090)",996.336307795627
"CPU",10024,23,590.536338103,29.743631879,19447.6666666667,"dgetrf_nopiv","parsec","parsec:lfq",33.639385536,"tupi","tupi (RTX 4090)",578.121935249212
"GPU",12116,4,293.869371301,33.541243171,23219,"dgetrf_nopiv","parsec","parsec:lfq",33.639385536,"tupi","tupi (RTX 4090)",690.232583920168
