"algo","cfg","kernel","n","mean_wait","median_wait","p95_wait"
"dgetrf_nopiv","parsec:gd","gemm",167480,255.337596554359,157.514232500002,794.5834089
"dgetrf_nopiv","parsec:lfq","gemm",167480,220.673742417751,15.6632390000022,1196.5579656
"dgetrf_nopiv","starpu:dmda","gemm",167480,474.748115163828,400.938624,1110.9858743
"dgetrf_nopiv","starpu:dmdas","gemm",167480,5331.30891226867,3962.433274,14785.5465625
"dgetrf_nopiv","parsec:gd","trsm",6320,105.069884070886,20.0391565,649.3766788
"dgetrf_nopiv","parsec:lfq","trsm",6320,160.602693915981,8.90618499999982,974.035569849998
"dgetrf_nopiv","starpu:dmda","trsm",6320,124.852718140348,67.9245775000018,359.91633685
"dgetrf_nopiv","starpu:dmdas","trsm",6320,4579.34937112136,3302.014881,13285.6839071
"dpotrf","parsec:gd","gemm",82160,160.295602746239,91.845595,498.5346717
"dpotrf","parsec:lfq","gemm",82160,129.024905465445,8.86912450000034,649.239519749999
"dpotrf","starpu:dmda","gemm",82160,242.974415769985,211.9774375,566.23736215
"dpotrf","starpu:dmdas","gemm",82160,2654.87683571255,1975.8556825,7358.3243958
"dpotrf","parsec:gd","potrf",80,78.7085980875,18.973082999999,398.13778735
"dpotrf","parsec:lfq","potrf",80,65.3098234874996,0.184413499999209,83.7311653499994
"dpotrf","starpu:dmda","potrf",80,15590.5494922,18357.533931,21208.6324452
"dpotrf","starpu:dmdas","potrf",80,11651.50015335,13523.02761,21158.5222597
"dpotrf","parsec:gd","syrk",3160,100.158731930063,34.9383030000004,384.777010599999
"dpotrf","parsec:lfq","syrk",3160,94.6363141484177,0.855908499999714,575.052214899997
"dpotrf","starpu:dmda","syrk",3160,154.696599998734,107.069933500001,463.095716749999
"dpotrf","starpu:dmdas","syrk",3160,6.06335728037975,4.1265800000001,10.8878924999986
"dpotrf","parsec:gd","trsm",3160,63.1253167414557,18.7809119999979,298.951649650001
"dpotrf","parsec:lfq","trsm",3160,54.0892941259493,1.60478800000146,308.0111234
"dpotrf","starpu:dmda","trsm",3160,168.947027274367,89.7379909999991,576.57010005
"dpotrf","starpu:dmdas","trsm",3160,2512.76596552722,1874.25428,7032.97177295
