"algo","cfg","class","kernel","n","mean_ms","median_ms","sd_ms"
"dpotrf","parsec:gd","CPU","gemm",4839,62.132714382517,46.572631000001,24.07975728888
"dpotrf","parsec:gd","GPU","gemm",5041,20.8199524832375,18.3027360000005,13.0515370774047
"dpotrf","parsec:lfq","CPU","gemm",3689,65.864920733261,74.9865140000004,23.0792008839835
"dpotrf","parsec:lfq","GPU","gemm",6191,16.1960894114037,14.7834409999996,9.83727310685456
"dpotrf","starpu:dmda","CPU","gemm",2715,63.6980503815838,57.602879,14.3315191036912
"dpotrf","starpu:dmda","GPU","gemm",7165,6.56343873398465,6.747972,0.822987565657009
"dpotrf","starpu:dmdas","CPU","gemm",2579,63.7450806064366,57.84882,13.9187088546551
"dpotrf","starpu:dmdas","GPU","gemm",7301,6.09520065963567,6.742231,1.35737115056567
"dpotrf","parsec:gd","CPU","plgsy",820,12.8989631634146,13.488568,3.62760513883277
"dpotrf","parsec:lfq","CPU","plgsy",820,13.3520956585366,13.97122,3.24558317710657
"dpotrf","parsec:gd","CPU","potrf",9,13.2930230000001,16.0681280000005,5.41608451333757
"dpotrf","parsec:gd","GPU","potrf",31,20.635687548387,20.7908150000004,11.6824938085348
"dpotrf","parsec:lfq","CPU","potrf",5,12.4902407999996,8.03690499999933,6.25756475654575
"dpotrf","parsec:lfq","GPU","potrf",35,20.6757786857144,23.053459999999,10.8269792408905
"dpotrf","starpu:dmda","CPU","potrf",28,12.7055260714286,13.106908,3.58480392244758
"dpotrf","starpu:dmda","GPU","potrf",12,7.71360175,6.8974075,4.6486172282689
"dpotrf","starpu:dmdas","CPU","potrf",31,11.7285768709677,12.75877,3.87964189093974
"dpotrf","starpu:dmdas","GPU","potrf",9,8.32726366666667,9.242469,5.72540267715267
"dpotrf","parsec:gd","CPU","syrk",438,35.8343740045662,28.6639734999994,12.5733884401563
"dpotrf","parsec:gd","GPU","syrk",342,17.6235702631579,14.2088619999997,13.8275904057639
"dpotrf","parsec:lfq","CPU","syrk",360,36.4057741611111,27.6471755000001,12.9026717179768
"dpotrf","parsec:lfq","GPU","syrk",420,15.767641797619,13.0583804999995,11.9747358454842
"dpotrf","starpu:dmda","CPU","syrk",673,32.129976794948,30.869702,7.90809965675998
"dpotrf","starpu:dmda","GPU","syrk",107,3.41671763551402,2.99788,1.78638314102214
"dpotrf","starpu:dmdas","CPU","syrk",679,31.8575871325479,31.17763,8.52023860326606
"dpotrf","starpu:dmdas","GPU","syrk",101,2.922925,2.759427,1.7250706098303
"dpotrf","parsec:gd","CPU","trsm",281,34.3486284092526,25.2673440000005,14.2654243966028
"dpotrf","parsec:gd","GPU","trsm",499,25.6998249659319,23.4769319999982,14.7901603773624
"dpotrf","parsec:lfq","CPU","trsm",242,37.2853038057852,39.8086540000001,14.3812263378314
"dpotrf","parsec:lfq","GPU","trsm",538,22.7207970260223,19.7983339999998,15.1213873587519
"dpotrf","starpu:dmda","CPU","trsm",619,32.4464369450727,32.780464,8.23646465240751
"dpotrf","starpu:dmda","GPU","trsm",161,12.891429621118,5.879551,17.79998082412
"dpotrf","starpu:dmdas","CPU","trsm",645,34.461071572093,33.405877,9.76476304846052
"dpotrf","starpu:dmdas","GPU","trsm",135,40.3648137185185,32.215282,32.7321598477551
