"algo","cfg","kernel","n","mean_wait","median_wait","p95_wait"
"dgetrf_nopiv","parsec:gd","gemm",20540,423.807186953408,198.478795,1473.6736529
"dgetrf_nopiv","parsec:lfq","gemm",20540,531.15589393038,62.6830724999999,3801.72499075
"dgetrf_nopiv","starpu:dmda","gemm",20540,707.985648288072,613.543981999998,1593.0631943
"dgetrf_nopiv","starpu:dmdas","gemm",20540,3062.07368119362,2372.159791,8184.74981405
"dgetrf_nopiv","parsec:gd","trsm",1560,118.256570756411,51.8321845000009,436.8936624
"dgetrf_nopiv","parsec:lfq","trsm",1560,207.971191425641,29.0728870000007,807.66347975
"dgetrf_nopiv","starpu:dmda","trsm",1560,335.215195830769,142.947184499999,1241.4896564
"dgetrf_nopiv","starpu:dmdas","trsm",1560,2365.17965861923,1639.9783805,7083.69057125
"dpotrf","parsec:gd","gemm",9880,293.272470101619,215.487186999999,856.212825
"dpotrf","parsec:lfq","gemm",9880,263.082115122065,77.7786245000002,1124.0380857
"dpotrf","starpu:dmda","gemm",9880,431.57979588502,396.070362,975.952123149998
"dpotrf","starpu:dmdas","gemm",9880,1493.91935849818,1179.4997195,3961.02861395
"dpotrf","parsec:gd","potrf",40,150.815712725,36.390922999999,597.778415950001
"dpotrf","parsec:lfq","potrf",40,101.154418675,3.96492750000016,788.6026046
"dpotrf","starpu:dmda","potrf",40,8392.8640727,9530.662444,12454.5223744
"dpotrf","starpu:dmdas","potrf",40,6646.65231725,7223.918749,12657.84555565
"dpotrf","parsec:gd","syrk",780,160.628032967949,76.4151164999994,611.0817137
"dpotrf","parsec:lfq","syrk",780,85.4612821153846,12.3458809999997,592.818987449999
"dpotrf","starpu:dmda","syrk",780,55.5948809769231,43.7195225000005,166.8295594
"dpotrf","starpu:dmdas","syrk",780,26.5286732410257,19.1192850000002,84.8402545499999
"dpotrf","parsec:gd","trsm",780,118.637586116667,58.4985645000006,596.66929035
"dpotrf","parsec:lfq","trsm",780,62.1705447948718,14.2473405000001,207.854713349998
"dpotrf","starpu:dmda","trsm",780,380.378209074359,335.198917,1071.7961018
"dpotrf","starpu:dmdas","trsm",780,1441.09149989744,1187.2685175,3700.8747865
