"algo","cfg","class","kernel","n","mean_ms","median_ms","sd_ms"
"dgetrf_nopiv","parsec:gd","CPU","gemm",105991,6.58187117630742,4.37359300000034,3.28971019167896
"dgetrf_nopiv","parsec:gd","GPU","gemm",61489,5.34962572619493,5.25321800000221,2.67936896006005
"dgetrf_nopiv","parsec:lfq","CPU","gemm",96243,7.13439829744501,4.60249300000025,3.52185693453028
"dgetrf_nopiv","parsec:lfq","GPU","gemm",71237,7.88153746593765,7.75223900000006,4.1052280283985
"dgetrf_nopiv","starpu:dmda","CPU","gemm",97041,8.32917019673128,7.833715,1.72550836268708
"dgetrf_nopiv","starpu:dmda","GPU","gemm",70439,2.47170832939139,2.377408,1.21343256533372
"dgetrf_nopiv","starpu:dmdas","CPU","gemm",96539,8.34527478321715,8.000398,1.66470511273334
"dgetrf_nopiv","starpu:dmdas","GPU","gemm",70941,2.49491109891318,2.356123,1.40812253980672
"dgetrf_nopiv","parsec:gd","CPU","getrf_nopiv",80,3.09736567500009,2.09370999999717,1.356072977278
"dgetrf_nopiv","parsec:lfq","CPU","getrf_nopiv",80,3.10237779999967,2.06170099999756,1.45453432763687
"dgetrf_nopiv","starpu:dmda","CPU","getrf_nopiv",80,3.37209165,3.7392985,0.717943977787046
"dgetrf_nopiv","starpu:dmdas","CPU","getrf_nopiv",80,3.761736125,3.76797,0.844882441321259
"dgetrf_nopiv","parsec:gd","CPU","plgsy",6480,2.35207927839506,2.286114,0.745993755657609
"dgetrf_nopiv","parsec:lfq","CPU","plgsy",6480,2.3644398433642,2.2378395,0.92848547888508
"dgetrf_nopiv","parsec:gd","CPU","trsm",3996,4.03757776426427,2.82071299999952,1.93285502143632
"dgetrf_nopiv","parsec:gd","GPU","trsm",2324,8.03257124311522,7.28390950000146,4.87805655809913
"dgetrf_nopiv","parsec:lfq","CPU","trsm",3430,4.57874795918364,2.99958199999854,2.1857975679157
"dgetrf_nopiv","parsec:lfq","GPU","trsm",2890,15.693573616609,14.3867225000006,8.53374871157284
"dgetrf_nopiv","starpu:dmda","CPU","trsm",5073,4.46234681490242,4.569192,0.889666953186958
"dgetrf_nopiv","starpu:dmda","GPU","trsm",1247,3.51369991659984,2.443133,3.47020601502713
"dgetrf_nopiv","starpu:dmdas","CPU","trsm",6246,5.16943891802754,4.9571375,0.977804061416512
"dgetrf_nopiv","starpu:dmdas","GPU","trsm",74,9.44809455405405,9.649164,7.51443808027702
"dpotrf","parsec:gd","CPU","gemm",51556,6.72313429897587,4.46129249999998,3.39469776011588
"dpotrf","parsec:gd","GPU","gemm",30604,5.42981106319435,5.21260700000031,2.99217289108975
"dpotrf","parsec:lfq","CPU","gemm",47243,7.22019790792286,4.65593200000003,3.53194089358034
"dpotrf","parsec:lfq","GPU","gemm",34917,7.33498478523355,6.85620500000007,5.14272407140757
"dpotrf","starpu:dmda","CPU","gemm",46754,8.29674035226932,7.7888915,1.69557362657101
"dpotrf","starpu:dmda","GPU","gemm",35406,2.41464294455742,2.3875355,1.05917546048773
"dpotrf","starpu:dmdas","CPU","gemm",46426,8.38146251850256,7.953147,1.62751840944883
"dpotrf","starpu:dmdas","GPU","gemm",35734,2.46037089589746,2.364288,1.20172571220056
"dpotrf","parsec:gd","CPU","plgsy",3240,2.7588003962963,2.74141649999999,0.769376274537726
"dpotrf","parsec:lfq","CPU","plgsy",3240,2.79530746141975,2.71550650000001,1.03968923928327
"dpotrf","parsec:gd","CPU","potrf",37,1.60063729729735,1.19636699999869,0.607345262672679
"dpotrf","parsec:gd","GPU","potrf",43,9.33040834883707,9.28791400000081,4.09080720033646
