"class","tasks","workers","busy_s","active_s","gflop","algo","runtime","cfg","makespan_s","contrib_gfps","capacity_gfps","share_flops","rstar"
"CPU",53366,19,395.276899003,21.179160725,12591.8333333333,"dpotrf","starpu","starpu:dmda",21.234443099,592.990985194536,605.258829789387,0.5902421875,0.406860121844426
"GPU",35194,4,83.678440618,21.055076654,8741.5,"dpotrf","starpu","starpu:dmda",21.234443099,411.666082281747,415.173031361978,0.4097578125,0.406860121844426
"CPU",53301,19,399.273553845,21.145991539,12525.5416666667,"dpotrf","starpu","starpu:dmdas",21.190716085,591.086285919944,596.0457169649,0.587134765625,0.410849436001575
"GPU",35259,4,83.648851629,21.190005266,8807.79166666667,"dpotrf","starpu","starpu:dmdas",21.190716085,415.64389005718,415.657832836834,0.412865234375,0.410849436001575
"CPU",55596,19,334.06360997,19.329933084,13411.1666666667,"dpotrf","parsec","parsec:gd",20.234017702,662.802952146328,762.765410723873,0.6286484375,0.339777215226899
"GPU",32964,4,228.937918627,20.181304703,7922.16666666667,"dpotrf","parsec","parsec:gd",20.234017702,391.527119494593,392.549777294082,0.3713515625,0.339777215226899
"CPU",52021,19,314.585242513,19.038299639,12492.9166666667,"dpotrf","parsec","parsec:lfq",22.601716754,552.741935607865,754.5344936416,0.58560546875,0.342009085519124
"GPU",36539,4,267.10131499,22.541140703,8840.41666666667,"dpotrf","parsec","parsec:lfq",22.601716754,391.139167121104,392.190296983954,0.41439453125,0.342009085519124
"CPU",103196,19,794.765897549,42.179996862,25122.7916666667,"dgetrf_nopiv","starpu","starpu:dmda",42.192268495,595.435907164931,600.59577686804,0.5888154296875,0.409189960858104
"GPU",70684,4,167.622859598,42.176073598,17543.875,"dgetrf_nopiv","starpu","starpu:dmda",42.192268495,415.807815644685,415.967478794231,0.4111845703125,0.409189960858104
"CPU",103249,19,796.718756863,42.208002178,25014.9166666667,"dgetrf_nopiv","starpu","starpu:dmdas",42.221986796,592.461856130288,596.551057161058,0.586287109375,0.412104163801287
"GPU",70631,4,166.246786261,42.211766782,17651.75,"dgetrf_nopiv","starpu","starpu:dmdas",42.221986796,418.070094268332,418.171314438492,0.413712890625,0.412104163801287
"CPU",107428,19,661.039751048,37.9567371960001,26358.1666666667,"dgetrf_nopiv","parsec","parsec:gd",40.157686042,656.366670108912,757.602195439381,0.61776953125,0.349136754271828
"GPU",66452,4,527.11943346,40.12979774,16308.5,"dgetrf_nopiv","parsec","parsec:gd",40.157686042,406.111546938818,406.393775160851,0.38223046875,0.349136754271828
"CPU",106037,19,657.533366295999,38.1420029910001,26042.2916666667,"dgetrf_nopiv","parsec","parsec:lfq",41.914662458,621.316984068808,752.514727053293,0.6103662109375,0.345704665782163
"GPU",67843,4,503.927261579,41.811803958,16624.375,"dgetrf_nopiv","parsec","parsec:lfq",41.914662458,396.624332037941,397.600041765699,0.3896337890625,0.345704665782163
