precision,algorithm,n,b,runtime,scheduler,rep
FP32,potrf,19200,960,parsec,lfq,1
FP64,geqrf,19200,960,starpu,dmda,1
FP32,geqrf,19200,960,starpu,dmdas,1
FP32,potrf,19200,960,starpu,dmda,1
FP64,potrf,19200,960,starpu,dmda,1
FP64,potrf,19200,960,parsec,gd,1
FP64,geqrf,19200,960,parsec,lfq,1
FP32,geqrf,19200,960,starpu,dmda,1
FP32,potrf,19200,960,parsec,gd,1
FP32,potrf,19200,960,starpu,dmdas,1
FP32,geqrf,19200,960,parsec,lfq,1
FP64,potrf,19200,960,parsec,lfq,1
FP64,potrf,19200,960,starpu,dmdas,1
FP32,geqrf,19200,960,parsec,gd,1
FP64,geqrf,19200,960,parsec,gd,1
FP64,geqrf,19200,960,starpu,dmdas,1
FP32,potrf,19200,960,parsec,lfq,2
FP32,geqrf,19200,960,parsec,gd,2
FP32,potrf,19200,960,starpu,dmdas,2
FP64,potrf,19200,960,parsec,gd,2
FP64,geqrf,19200,960,parsec,gd,2
FP64,geqrf,19200,960,parsec,lfq,2
FP32,potrf,19200,960,parsec,gd,2
FP64,potrf,19200,960,parsec,lfq,2
FP64,potrf,19200,960,starpu,dmda,2
FP64,geqrf,19200,960,starpu,dmdas,2
FP64,potrf,19200,960,starpu,dmdas,2
FP32,potrf,19200,960,starpu,dmda,2
FP64,geqrf,19200,960,starpu,dmda,2
FP32,geqrf,19200,960,starpu,dmda,2
FP32,geqrf,19200,960,parsec,lfq,2
FP32,geqrf,19200,960,starpu,dmdas,2
FP32,geqrf,19200,960,starpu,dmda,3
FP64,potrf,19200,960,starpu,dmdas,3
FP64,potrf,19200,960,parsec,lfq,3
FP64,potrf,19200,960,parsec,gd,3
FP32,geqrf,19200,960,parsec,gd,3
FP64,geqrf,19200,960,starpu,dmda,3
FP32,geqrf,19200,960,parsec,lfq,3
FP32,potrf,19200,960,parsec,lfq,3
FP32,geqrf,19200,960,starpu,dmdas,3
FP64,geqrf,19200,960,parsec,lfq,3
FP32,potrf,19200,960,starpu,dmda,3
FP32,potrf,19200,960,parsec,gd,3
FP64,geqrf,19200,960,starpu,dmdas,3
FP64,geqrf,19200,960,parsec,gd,3
FP64,potrf,19200,960,starpu,dmda,3
FP32,potrf,19200,960,starpu,dmdas,3
FP64,potrf,19200,960,parsec,lfq,4
FP32,geqrf,19200,960,starpu,dmdas,4
FP32,geqrf,19200,960,starpu,dmda,4
FP64,geqrf,19200,960,parsec,gd,4
FP64,potrf,19200,960,starpu,dmdas,4
FP64,geqrf,19200,960,starpu,dmdas,4
FP64,potrf,19200,960,starpu,dmda,4
FP32,potrf,19200,960,parsec,gd,4
FP64,geqrf,19200,960,parsec,lfq,4
FP32,geqrf,19200,960,parsec,lfq,4
FP32,geqrf,19200,960,parsec,gd,4
FP32,potrf,19200,960,starpu,dmda,4
FP64,potrf,19200,960,parsec,gd,4
FP64,geqrf,19200,960,starpu,dmda,4
FP32,potrf,19200,960,parsec,lfq,4
FP32,potrf,19200,960,starpu,dmdas,4
FP32,geqrf,19200,960,starpu,dmdas,5
FP32,geqrf,19200,960,parsec,gd,5
FP64,geqrf,19200,960,parsec,lfq,5
FP64,potrf,19200,960,starpu,dmdas,5
FP64,geqrf,19200,960,starpu,dmdas,5
FP64,geqrf,19200,960,parsec,gd,5
FP32,potrf,19200,960,starpu,dmda,5
FP64,geqrf,19200,960,starpu,dmda,5
FP32,potrf,19200,960,starpu,dmdas,5
FP64,potrf,19200,960,parsec,lfq,5
FP32,geqrf,19200,960,parsec,lfq,5
FP32,potrf,19200,960,parsec,lfq,5
FP32,geqrf,19200,960,starpu,dmda,5
FP32,potrf,19200,960,parsec,gd,5
FP64,potrf,19200,960,parsec,gd,5
FP64,potrf,19200,960,starpu,dmda,5
FP64,potrf,19200,960,starpu,dmdas,6
FP32,potrf,19200,960,parsec,gd,6
FP64,geqrf,19200,960,parsec,lfq,6
FP64,potrf,19200,960,parsec,gd,6
FP32,potrf,19200,960,starpu,dmda,6
FP32,potrf,19200,960,starpu,dmdas,6
FP64,geqrf,19200,960,parsec,gd,6
FP32,geqrf,19200,960,parsec,gd,6
FP32,potrf,19200,960,parsec,lfq,6
FP32,geqrf,19200,960,starpu,dmdas,6
FP32,geqrf,19200,960,starpu,dmda,6
FP64,potrf,19200,960,starpu,dmda,6
FP32,geqrf,19200,960,parsec,lfq,6
FP64,potrf,19200,960,parsec,lfq,6
FP64,geqrf,19200,960,starpu,dmda,6
FP64,geqrf,19200,960,starpu,dmdas,6
FP64,potrf,19200,960,parsec,lfq,7
FP32,geqrf,19200,960,parsec,gd,7
FP32,geqrf,19200,960,starpu,dmdas,7
FP64,geqrf,19200,960,parsec,lfq,7
FP32,geqrf,19200,960,starpu,dmda,7
FP64,potrf,19200,960,starpu,dmda,7
FP64,geqrf,19200,960,parsec,gd,7
FP32,potrf,19200,960,starpu,dmda,7
FP32,potrf,19200,960,parsec,gd,7
FP64,geqrf,19200,960,starpu,dmdas,7
FP32,geqrf,19200,960,parsec,lfq,7
FP64,potrf,19200,960,starpu,dmdas,7
FP32,potrf,19200,960,parsec,lfq,7
FP32,potrf,19200,960,starpu,dmdas,7
FP64,potrf,19200,960,parsec,gd,7
FP64,geqrf,19200,960,starpu,dmda,7
FP64,geqrf,19200,960,parsec,lfq,8
FP32,geqrf,19200,960,parsec,gd,8
FP32,geqrf,19200,960,starpu,dmdas,8
FP64,geqrf,19200,960,starpu,dmdas,8
FP32,potrf,19200,960,starpu,dmdas,8
FP64,potrf,19200,960,starpu,dmdas,8
FP32,potrf,19200,960,parsec,gd,8
FP32,potrf,19200,960,starpu,dmda,8
FP32,geqrf,19200,960,starpu,dmda,8
FP64,potrf,19200,960,starpu,dmda,8
FP64,potrf,19200,960,parsec,lfq,8
FP32,geqrf,19200,960,parsec,lfq,8
FP32,potrf,19200,960,parsec,lfq,8
FP64,geqrf,19200,960,starpu,dmda,8
FP64,potrf,19200,960,parsec,gd,8
FP64,geqrf,19200,960,parsec,gd,8
FP64,potrf,19200,960,starpu,dmdas,9
FP64,geqrf,19200,960,parsec,lfq,9
FP64,geqrf,19200,960,starpu,dmda,9
FP32,potrf,19200,960,parsec,lfq,9
FP32,potrf,19200,960,starpu,dmdas,9
FP32,potrf,19200,960,starpu,dmda,9
FP32,geqrf,19200,960,starpu,dmda,9
FP64,geqrf,19200,960,parsec,gd,9
FP64,potrf,19200,960,parsec,lfq,9
FP32,geqrf,19200,960,starpu,dmdas,9
FP32,potrf,19200,960,parsec,gd,9
FP64,geqrf,19200,960,starpu,dmdas,9
FP32,geqrf,19200,960,parsec,gd,9
FP32,geqrf,19200,960,parsec,lfq,9
FP64,potrf,19200,960,parsec,gd,9
FP64,potrf,19200,960,starpu,dmda,9
FP64,potrf,19200,960,starpu,dmda,10
FP64,geqrf,19200,960,starpu,dmdas,10
FP64,potrf,19200,960,starpu,dmdas,10
FP32,potrf,19200,960,starpu,dmda,10
FP64,geqrf,19200,960,parsec,gd,10
FP32,geqrf,19200,960,starpu,dmdas,10
FP32,geqrf,19200,960,parsec,lfq,10
FP64,geqrf,19200,960,starpu,dmda,10
FP32,potrf,19200,960,parsec,gd,10
FP32,geqrf,19200,960,starpu,dmda,10
FP32,potrf,19200,960,starpu,dmdas,10
FP64,potrf,19200,960,parsec,lfq,10
FP32,potrf,19200,960,parsec,lfq,10
FP64,geqrf,19200,960,parsec,lfq,10
FP64,potrf,19200,960,parsec,gd,10
FP32,geqrf,19200,960,parsec,gd,10
