precision,algorithm,n,b,runtime,scheduler,rep
FP64,geqrf,19200,480,starpu,dmda,1
FP32,geqrf,19200,1920,parsec,lfq,1
FP32,potrf,19200,480,starpu,dmda,1
FP64,potrf,19200,1440,parsec,lfq,1
FP32,geqrf,19200,480,parsec,lfq,1
FP64,potrf,19200,1440,starpu,dmda,1
FP64,potrf,19200,1920,starpu,dmda,1
FP32,potrf,19200,1440,parsec,lfq,1
FP32,potrf,19200,480,parsec,lfq,1
FP64,geqrf,19200,960,parsec,lfq,1
FP64,potrf,19200,960,starpu,dmda,1
FP64,potrf,19200,480,parsec,lfq,1
FP32,geqrf,19200,1440,parsec,lfq,1
FP64,potrf,19200,960,parsec,lfq,1
FP32,geqrf,19200,720,starpu,dmda,1
FP32,potrf,19200,960,starpu,dmda,1
FP32,geqrf,19200,1440,starpu,dmda,1
FP32,geqrf,19200,960,parsec,lfq,1
FP32,potrf,19200,720,starpu,dmda,1
FP32,potrf,19200,720,parsec,lfq,1
FP64,geqrf,19200,720,parsec,lfq,1
FP32,potrf,19200,960,parsec,lfq,1
FP32,geqrf,19200,1920,starpu,dmda,1
FP64,potrf,19200,480,starpu,dmda,1
FP32,geqrf,19200,720,parsec,lfq,1
FP64,geqrf,19200,1920,starpu,dmda,1
FP64,geqrf,19200,1440,parsec,lfq,1
FP64,geqrf,19200,960,starpu,dmda,1
FP64,potrf,19200,1920,parsec,lfq,1
FP64,geqrf,19200,1920,parsec,lfq,1
FP32,geqrf,19200,480,starpu,dmda,1
FP64,potrf,19200,720,starpu,dmda,1
FP32,potrf,19200,1920,starpu,dmda,1
FP64,geqrf,19200,720,starpu,dmda,1
FP64,geqrf,19200,480,parsec,lfq,1
FP32,geqrf,19200,960,starpu,dmda,1
FP32,potrf,19200,1920,parsec,lfq,1
FP64,potrf,19200,720,parsec,lfq,1
FP64,geqrf,19200,1440,starpu,dmda,1
FP32,potrf,19200,1440,starpu,dmda,1
FP32,geqrf,19200,480,parsec,lfq,2
FP64,potrf,19200,720,starpu,dmda,2
FP32,potrf,19200,720,parsec,lfq,2
FP32,geqrf,19200,1920,parsec,lfq,2
FP32,potrf,19200,1920,parsec,lfq,2
FP64,geqrf,19200,480,parsec,lfq,2
FP64,geqrf,19200,960,parsec,lfq,2
FP64,potrf,19200,1440,starpu,dmda,2
FP64,potrf,19200,480,starpu,dmda,2
FP32,potrf,19200,1440,starpu,dmda,2
FP64,potrf,19200,1920,starpu,dmda,2
FP64,potrf,19200,480,parsec,lfq,2
FP32,potrf,19200,1440,parsec,lfq,2
FP64,geqrf,19200,1440,parsec,lfq,2
FP32,potrf,19200,480,starpu,dmda,2
FP32,geqrf,19200,1920,starpu,dmda,2
FP64,potrf,19200,1920,parsec,lfq,2
FP64,geqrf,19200,720,starpu,dmda,2
FP32,geqrf,19200,720,parsec,lfq,2
FP64,geqrf,19200,960,starpu,dmda,2
FP32,potrf,19200,960,parsec,lfq,2
FP64,geqrf,19200,1920,parsec,lfq,2
FP32,geqrf,19200,720,starpu,dmda,2
FP32,geqrf,19200,960,starpu,dmda,2
FP64,potrf,19200,720,parsec,lfq,2
FP64,geqrf,19200,480,starpu,dmda,2
FP32,geqrf,19200,960,parsec,lfq,2
FP32,geqrf,19200,1440,parsec,lfq,2
FP32,potrf,19200,960,starpu,dmda,2
FP32,potrf,19200,480,parsec,lfq,2
FP64,potrf,19200,960,parsec,lfq,2
FP32,geqrf,19200,1440,starpu,dmda,2
FP64,potrf,19200,960,starpu,dmda,2
FP32,potrf,19200,720,starpu,dmda,2
FP64,geqrf,19200,720,parsec,lfq,2
FP32,potrf,19200,1920,starpu,dmda,2
FP64,potrf,19200,1440,parsec,lfq,2
FP64,geqrf,19200,1440,starpu,dmda,2
FP64,geqrf,19200,1920,starpu,dmda,2
FP32,geqrf,19200,480,starpu,dmda,2
FP32,potrf,19200,1440,parsec,lfq,3
FP32,potrf,19200,480,parsec,lfq,3
FP32,geqrf,19200,960,parsec,lfq,3
FP32,potrf,19200,1920,starpu,dmda,3
FP32,potrf,19200,960,starpu,dmda,3
FP32,geqrf,19200,480,parsec,lfq,3
FP32,geqrf,19200,1920,starpu,dmda,3
FP64,potrf,19200,720,parsec,lfq,3
FP64,geqrf,19200,1440,starpu,dmda,3
FP32,geqrf,19200,960,starpu,dmda,3
FP64,potrf,19200,960,parsec,lfq,3
FP64,potrf,19200,960,starpu,dmda,3
FP32,geqrf,19200,720,starpu,dmda,3
FP64,potrf,19200,1440,parsec,lfq,3
FP64,potrf,19200,480,starpu,dmda,3
FP32,potrf,19200,960,parsec,lfq,3
FP32,potrf,19200,480,starpu,dmda,3
FP64,potrf,19200,1920,parsec,lfq,3
FP32,geqrf,19200,1440,starpu,dmda,3
FP32,potrf,19200,720,parsec,lfq,3
FP64,geqrf,19200,960,parsec,lfq,3
FP64,geqrf,19200,960,starpu,dmda,3
FP64,geqrf,19200,720,parsec,lfq,3
FP64,geqrf,19200,720,starpu,dmda,3
FP64,geqrf,19200,480,parsec,lfq,3
FP32,geqrf,19200,480,starpu,dmda,3
FP32,geqrf,19200,1920,parsec,lfq,3
FP64,potrf,19200,480,parsec,lfq,3
FP32,geqrf,19200,1440,parsec,lfq,3
FP64,geqrf,19200,1920,starpu,dmda,3
FP64,potrf,19200,720,starpu,dmda,3
FP64,potrf,19200,1440,starpu,dmda,3
FP64,geqrf,19200,480,starpu,dmda,3
FP32,potrf,19200,1920,parsec,lfq,3
FP32,geqrf,19200,720,parsec,lfq,3
FP32,potrf,19200,720,starpu,dmda,3
FP64,geqrf,19200,1440,parsec,lfq,3
FP64,geqrf,19200,1920,parsec,lfq,3
FP64,potrf,19200,1920,starpu,dmda,3
FP32,potrf,19200,1440,starpu,dmda,3
FP64,potrf,19200,480,parsec,lfq,4
FP32,geqrf,19200,1440,parsec,lfq,4
FP32,geqrf,19200,720,starpu,dmda,4
FP32,geqrf,19200,1920,parsec,lfq,4
FP32,geqrf,19200,720,parsec,lfq,4
FP64,potrf,19200,1920,parsec,lfq,4
FP64,geqrf,19200,1920,starpu,dmda,4
FP64,geqrf,19200,480,parsec,lfq,4
FP32,geqrf,19200,1920,starpu,dmda,4
FP32,potrf,19200,480,parsec,lfq,4
FP64,geqrf,19200,1440,starpu,dmda,4
FP64,geqrf,19200,960,parsec,lfq,4
FP64,geqrf,19200,480,starpu,dmda,4
FP64,potrf,19200,480,starpu,dmda,4
FP64,potrf,19200,960,parsec,lfq,4
FP32,potrf,19200,480,starpu,dmda,4
FP64,geqrf,19200,960,starpu,dmda,4
FP32,potrf,19200,1920,parsec,lfq,4
FP32,potrf,19200,960,starpu,dmda,4
FP32,potrf,19200,1440,starpu,dmda,4
FP64,geqrf,19200,1440,parsec,lfq,4
FP64,potrf,19200,1440,parsec,lfq,4
FP32,potrf,19200,1920,starpu,dmda,4
FP32,potrf,19200,960,parsec,lfq,4
FP32,geqrf,19200,960,starpu,dmda,4
FP32,geqrf,19200,1440,starpu,dmda,4
FP32,geqrf,19200,480,starpu,dmda,4
FP64,potrf,19200,1440,starpu,dmda,4
FP32,geqrf,19200,960,parsec,lfq,4
FP64,potrf,19200,720,parsec,lfq,4
FP64,geqrf,19200,720,starpu,dmda,4
FP64,geqrf,19200,1920,parsec,lfq,4
FP64,potrf,19200,1920,starpu,dmda,4
FP64,geqrf,19200,720,parsec,lfq,4
FP64,potrf,19200,960,starpu,dmda,4
FP64,potrf,19200,720,starpu,dmda,4
FP32,potrf,19200,1440,parsec,lfq,4
FP32,potrf,19200,720,parsec,lfq,4
FP32,geqrf,19200,480,parsec,lfq,4
FP32,potrf,19200,720,starpu,dmda,4
FP32,potrf,19200,1920,parsec,lfq,5
FP32,geqrf,19200,1920,parsec,lfq,5
FP32,geqrf,19200,960,parsec,lfq,5
FP64,geqrf,19200,1920,parsec,lfq,5
FP32,potrf,19200,960,parsec,lfq,5
FP64,geqrf,19200,960,starpu,dmda,5
FP64,potrf,19200,1440,starpu,dmda,5
FP64,geqrf,19200,1440,starpu,dmda,5
FP32,geqrf,19200,1440,starpu,dmda,5
FP64,potrf,19200,480,starpu,dmda,5
FP32,potrf,19200,480,starpu,dmda,5
FP32,geqrf,19200,480,starpu,dmda,5
FP64,geqrf,19200,480,parsec,lfq,5
FP32,potrf,19200,960,starpu,dmda,5
FP64,potrf,19200,720,starpu,dmda,5
FP32,potrf,19200,1920,starpu,dmda,5
FP64,geqrf,19200,1920,starpu,dmda,5
FP32,potrf,19200,720,starpu,dmda,5
FP32,geqrf,19200,720,parsec,lfq,5
FP32,geqrf,19200,1440,parsec,lfq,5
FP64,geqrf,19200,720,starpu,dmda,5
FP64,geqrf,19200,480,starpu,dmda,5
FP32,potrf,19200,720,parsec,lfq,5
FP64,potrf,19200,480,parsec,lfq,5
FP32,potrf,19200,1440,starpu,dmda,5
FP32,geqrf,19200,480,parsec,lfq,5
FP64,potrf,19200,960,parsec,lfq,5
FP64,geqrf,19200,960,parsec,lfq,5
FP32,geqrf,19200,1920,starpu,dmda,5
FP64,potrf,19200,960,starpu,dmda,5
FP32,geqrf,19200,960,starpu,dmda,5
FP64,potrf,19200,1920,starpu,dmda,5
FP64,geqrf,19200,720,parsec,lfq,5
FP32,potrf,19200,1440,parsec,lfq,5
FP32,geqrf,19200,720,starpu,dmda,5
FP64,potrf,19200,1920,parsec,lfq,5
