precision,algorithm,n,b,runtime,scheduler,rep
FP64,getrf_nopiv,20000,500,parsec,gd,1
FP32,getrf_nopiv,20000,2000,starpu,dmdas,1
FP32,potrf,20000,400,starpu,dmda,1
FP64,potrf,20000,1000,starpu,dmdas,1
FP32,getrf_nopiv,20000,400,parsec,lfq,1
FP64,potrf,20000,1000,starpu,dmda,1
FP32,getrf_nopiv,20000,2000,parsec,lfq,1
FP32,getrf_nopiv,20000,800,parsec,lfq,1
FP32,potrf,20000,400,starpu,dmdas,1
FP64,potrf,20000,1000,parsec,lfq,1
FP32,getrf_nopiv,20000,500,starpu,dmda,1
FP32,potrf,20000,2000,starpu,dmdas,1
FP32,potrf,20000,800,parsec,gd,1
FP32,potrf,20000,2000,parsec,gd,1
FP64,getrf_nopiv,20000,400,parsec,lfq,1
FP32,potrf,20000,1000,starpu,dmdas,1
FP64,getrf_nopiv,20000,2000,starpu,dmda,1
FP32,getrf_nopiv,20000,1000,starpu,dmdas,1
FP64,potrf,20000,500,starpu,dmda,1
FP64,potrf,20000,800,starpu,dmda,1
FP64,potrf,20000,400,parsec,lfq,1
FP64,potrf,20000,2000,starpu,dmdas,1
FP32,getrf_nopiv,20000,500,parsec,lfq,1
FP64,getrf_nopiv,20000,400,parsec,gd,1
FP64,getrf_nopiv,20000,500,starpu,dmdas,1
FP32,potrf,20000,2000,parsec,lfq,1
FP64,potrf,20000,500,parsec,gd,1
FP32,getrf_nopiv,20000,400,starpu,dmdas,1
FP64,potrf,20000,400,parsec,gd,1
FP64,getrf_nopiv,20000,2000,starpu,dmdas,1
FP32,getrf_nopiv,20000,800,parsec,gd,1
FP32,potrf,20000,500,starpu,dmdas,1
FP64,getrf_nopiv,20000,800,parsec,lfq,1
FP32,getrf_nopiv,20000,2000,parsec,gd,1
FP64,getrf_nopiv,20000,2000,parsec,lfq,1
FP64,getrf_nopiv,20000,500,parsec,lfq,1
FP64,getrf_nopiv,20000,400,starpu,dmdas,1
FP64,getrf_nopiv,20000,800,starpu,dmdas,1
FP32,getrf_nopiv,20000,1000,parsec,gd,1
FP64,potrf,20000,400,starpu,dmda,1
FP64,potrf,20000,2000,starpu,dmda,1
FP64,potrf,20000,400,starpu,dmdas,1
FP64,potrf,20000,500,parsec,lfq,1
FP64,potrf,20000,2000,parsec,gd,1
FP32,potrf,20000,500,parsec,lfq,1
FP32,potrf,20000,1000,parsec,lfq,1
FP64,getrf_nopiv,20000,1000,starpu,dmdas,1
FP32,getrf_nopiv,20000,800,starpu,dmda,1
FP32,potrf,20000,2000,starpu,dmda,1
FP64,getrf_nopiv,20000,400,starpu,dmda,1
FP32,potrf,20000,1000,starpu,dmda,1
FP64,getrf_nopiv,20000,500,starpu,dmda,1
FP32,potrf,20000,800,parsec,lfq,1
FP64,getrf_nopiv,20000,1000,starpu,dmda,1
FP64,getrf_nopiv,20000,1000,parsec,lfq,1
FP32,getrf_nopiv,20000,400,parsec,gd,1
FP64,potrf,20000,1000,parsec,gd,1
FP32,getrf_nopiv,20000,1000,parsec,lfq,1
FP64,potrf,20000,800,parsec,gd,1
FP64,potrf,20000,800,starpu,dmdas,1
FP64,getrf_nopiv,20000,800,starpu,dmda,1
FP32,getrf_nopiv,20000,500,starpu,dmdas,1
FP64,getrf_nopiv,20000,2000,parsec,gd,1
FP64,getrf_nopiv,20000,800,parsec,gd,1
FP32,potrf,20000,500,starpu,dmda,1
FP32,getrf_nopiv,20000,1000,starpu,dmda,1
FP32,getrf_nopiv,20000,500,parsec,gd,1
FP32,potrf,20000,1000,parsec,gd,1
FP32,potrf,20000,800,starpu,dmda,1
FP64,potrf,20000,2000,parsec,lfq,1
FP32,potrf,20000,500,parsec,gd,1
FP32,getrf_nopiv,20000,400,starpu,dmda,1
FP64,potrf,20000,800,parsec,lfq,1
FP32,potrf,20000,400,parsec,lfq,1
